"state","location","any.both_sexes_2004","any.females_2004","any.males_2004"
"Texas","Gillespie County",66.4,59.6,73.4
"Texas","Travis County",63.8,57.7,70.1
"Texas","Kendall County",61.3,53.4,69.5
"Texas","Collin County",60.9,55.1,66.9
"Texas","Hays County",60.5,53.2,68.1
"Texas","Williamson County",60,51.9,68.4
"Texas","Comal County",59.4,51.1,68
"Texas","Fayette County",57.7,49.1,66.6
"Texas","Galveston County",57.4,48,67.1
"Texas","Denton County",57.3,50.3,64.6
"Texas","Jeff Davis County",57.3,47.8,67.1
"Texas","Washington County",56.9,47.4,66.8
"Texas","Kerr County",56.5,47.5,65.8
"Texas","Fort Bend County",56.2,47.4,65.3
"Texas","Bexar County",56.1,47.6,64.9
"Texas","Hood County",55.8,50,61.9
"Texas","Mason County",55.5,46.4,64.9
"Texas","Guadalupe County",55.4,45.7,65.6
"Texas","Brazos County",55.3,46.6,64.3
"Texas","Tarrant County",55.3,47.6,63.2
"Texas","Austin County",55.2,45.8,65
"Texas","Montgomery County",55.1,45.8,64.7
"Texas","Bandera County",55,45.9,64.4
"Texas","Colorado County",54.9,45.8,64.3
"Texas","Lavaca County",54.9,44.3,65.9
"Texas","Aransas County",54.7,45.6,64.1
"Texas","Nueces County",54.6,43.3,66.3
"Texas","Brewster County",54.1,46.1,62.5
"Texas","Llano County",54.1,45.6,62.8
"Texas","Rockwall County",53.8,47.9,59.8
"Texas","Blanco County",53.4,43.7,63.5
"Texas","Harris County",53.3,44,63
"Texas","Victoria County",53,42.3,64.1
"Texas","Wilson County",52.7,42.2,63.6
"Texas","Dallas County",52.4,44.5,60.6
"Texas","Goliad County",52.3,42.2,62.8
"Texas","Bell County",52.2,42.9,61.8
"Texas","DeWitt County",52.2,42.8,62
"Texas","Burnet County",52.1,42.5,62.1
"Texas","Medina County",51.9,40.8,63.3
"Texas","Bastrop County",51.8,42.9,61.1
"Texas","Brazoria County",51.7,41.3,62.4
"Texas","Texas",51.7,42.7,61.2
"Texas","Wharton County",51.7,41.1,62.7
"Texas","Sutton County",51,40.2,62.1
"Texas","Kimble County",50.9,41.6,60.5
"Texas","Randall County",50.7,41.1,60.7
"Texas","Tom Green County",50.7,42,59.7
"Texas","El Paso County",50.4,40.9,60.2
"Texas","San Patricio County",50.4,39.9,61.2
"Texas","McLennan County",50.3,41.8,59.1
"Texas","Kleberg County",49.8,37.2,62.8
"Texas","Midland County",49.8,39.4,60.7
"Texas","Caldwell County",49.5,39.7,59.6
"Texas","Bee County",49.1,38.1,60.6
"Texas","Chambers County",49.1,39.3,59.3
"Texas","Cooke County",49.1,38.9,59.6
"Texas","Ellis County",49,40.4,57.9
"Texas","Bosque County",48.9,38.9,59.4
"Texas","Kinney County",48.7,36.2,61.6
"Texas","Parker County",48.7,40.2,57.5
"Texas","Waller County",48.6,38.8,58.7
"Texas","Lampasas County",48.4,38.7,58.6
"Texas","Refugio County",48.4,36.3,61
"Texas","Matagorda County",48.3,36.4,60.7
"Texas","Loving County",48.2,36.7,60
"Texas","Jackson County",48.1,37.3,59.3
"Texas","Lubbock County",48.1,37.4,59.1
"Texas","Coryell County",48,37.2,59.2
"Texas","Irion County",48,37,59.4
"Texas","McCulloch County",48,37.7,58.6
"Texas","Milam County",48,37.3,59.1
"Texas","Jim Hogg County",47.9,34.1,62.3
"Texas","Cameron County",47.8,33.5,62.7
"Texas","Wichita County",47.6,38.8,56.7
"Texas","Glasscock County",47.5,36.4,58.9
"Texas","Walker County",47.5,39.2,56.1
"Texas","Erath County",47.4,38.3,56.9
"Texas","Hamilton County",47.4,37.3,57.9
"Texas","Runnels County",47.4,36.9,58.2
"Texas","Somervell County",47.3,37.2,57.7
"Texas","Grimes County",47.1,36.8,57.8
"Texas","Jefferson County",47,38.2,56.1
"Texas","Calhoun County",46.9,34.9,59.4
"Texas","Taylor County",46.9,36.8,57.5
"Texas","Uvalde County",46.9,34.4,59.8
"Texas","Val Verde County",46.9,33.6,60.8
"Texas","Karnes County",46.7,37,56.7
"Texas","Grayson County",46.4,37.3,55.9
"Texas","Henderson County",46.4,37.6,55.5
"Texas","Johnson County",46.4,37.2,55.9
"Texas","Armstrong County",46.3,34.9,58.1
"Texas","Wise County",46.3,36.8,56.1
"Texas","Webb County",46.2,32.8,60.2
"Texas","Roberts County",46.1,33.8,58.8
"Texas","Gregg County",46,37.8,54.5
"Texas","Atascosa County",45.9,33.7,58.5
"Texas","Gonzales County",45.8,34.1,58
"Texas","Coleman County",45.7,35,56.7
"Texas","Edwards County",45.7,33.8,58
"Texas","Jim Wells County",45.7,32.4,59.3
"Texas","Live Oak County",45.7,34.2,57.6
"Texas","Palo Pinto County",45.7,36.6,55.1
"Texas","Crockett County",45.6,34.5,57.1
"Texas","Smith County",45.6,37.6,53.9
"Texas","Terrell County",45.6,33.3,58.4
"Texas","Dimmit County",45.4,31,60.3
"Texas","Kaufman County",45.4,36.2,55.1
"Texas","Lee County",45.4,34.9,56.3
"Texas","Stephens County",45.4,36.3,54.9
"Texas","Burleson County",45.3,34,57.1
"Texas","Hill County",45.3,35,56
"Texas","Sterling County",45.3,33.9,57.2
"Texas","La Salle County",45.2,32.4,58.5
"Texas","Menard County",45,33.6,56.9
"Texas","Leon County",44.8,33.4,56.6
"Texas","Shackelford County",44.7,33.9,55.9
"Texas","Hidalgo County",44.6,29.5,60.2
"Texas","Deaf Smith County",44.5,30.5,59
"Texas","McMullen County",44.5,31.4,58
"Texas","Nacogdoches County",44.5,36.2,53.1
"Texas","Potter County",44.5,32.6,56.8
"Texas","Frio County",44.3,30.7,58.4
"Texas","San Saba County",44.3,34.4,54.7
"Texas","Anderson County",44.2,36.5,52.2
"Texas","Hunt County",44.2,35.7,53.1
"Texas","Freestone County",44.1,34.8,53.8
"Texas","Jack County",44.1,34.8,53.8
"Texas","Dallam County",43.9,31.2,57.2
"Texas","San Jacinto County",43.9,32.8,55.3
"Texas","Ward County",43.8,33.5,54.4
"Texas","Kenedy County",43.7,28.2,59.8
"Texas","Callahan County",43.6,33.4,54.2
"Texas","Hansford County",43.6,30.9,56.6
"Texas","Rains County",43.6,33.6,54
"Texas","Falls County",43.5,32.3,55.2
"Texas","Navarro County",43.5,34,53.4
"Texas","Nolan County",43.5,32.8,54.7
"Texas","Pecos County",43.4,32.9,54.3
"Texas","Robertson County",43.4,32.9,54.4
"Texas","Lipscomb County",43.3,30.1,56.9
"Texas","Garza County",43.2,32.3,54.5
"Texas","Lamar County",43.2,35.2,51.6
"Texas","Montague County",43.2,33,53.7
"Texas","Schleicher County",43.2,31.6,55.2
"Texas","Young County",43.2,33.5,53.3
"Texas","Franklin County",43.1,34,52.6
"Texas","Archer County",43,32.5,53.9
"Texas","Camp County",43,33.6,52.7
"Texas","Duval County",42.9,29,57.2
"Texas","Limestone County",42.9,33.1,53.2
"Texas","Mills County",42.9,31.2,55
"Texas","Brooks County",42.8,28.7,57.4
"Texas","Carson County",42.8,30.2,55.9
"Texas","Oldham County",42.8,30.1,56
"Texas","Real County",42.6,31.9,53.6
"Texas","Willacy County",42.6,25.9,59.9
"Texas","Crane County",42.5,32.2,53.1
"Texas","Presidio County",42.5,30.3,55.2
"Texas","Howard County",42.3,33.8,51
"Texas","Castro County",42.2,28.8,56
"Texas","Orange County",42.2,32.6,52.1
"Texas","Van Zandt County",42.2,33.3,51.4
"Texas","Comanche County",42,30.9,53.6
"Texas","Hardin County",42,32.6,51.8
"Texas","Hopkins County",42,33.2,51.1
"Texas","Marion County",42,31.9,52.4
"Texas","Brown County",41.9,31.7,52.5
"Texas","Reagan County",41.9,30.4,53.8
"Texas","Wood County",41.9,31.9,52.2
"Texas","Stonewall County",41.8,30.1,53.8
"Texas","Childress County",41.6,31.9,51.6
"Texas","Harrison County",41.5,32.5,50.8
"Texas","Ector County",41.4,30.8,52.4
"Texas","Clay County",41.3,31.5,51.5
"Texas","Fannin County",41.3,32.3,50.7
"Texas","Concho County",41.2,31.4,51.3
"Texas","Madison County",41.2,31.4,51.5
"Texas","Mitchell County",41.1,31.1,51.5
"Texas","Houston County",41,31.9,50.3
"Texas","Liberty County",41,29.8,52.6
"Texas","Hemphill County",40.9,29.9,52.4
"Texas","Reeves County",40.9,29.4,52.9
"Texas","Hartley County",40.8,30.1,51.9
"Texas","Polk County",40.8,31.7,50.2
"Texas","Cherokee County",40.7,32.1,49.5
"Texas","Andrews County",40.6,30.2,51.4
"Texas","Angelina County",40.6,31.6,50.1
"Texas","Red River County",40.6,31.6,50
"Texas","Trinity County",40.5,29.6,51.8
"Texas","Upshur County",40.5,30.2,51.1
"Texas","Wilbarger County",40.5,29.6,51.8
"Texas","Bowie County",40.2,31.8,49
"Texas","Ochiltree County",40.2,29.6,51.2
"Texas","Delta County",40.1,30.5,50.1
"Texas","Zapata County",40.1,24.3,56.5
"Texas","Moore County",40,26.4,54.1
"Texas","Baylor County",39.8,28.8,51.3
"Texas","Scurry County",39.8,28.8,51.2
"Texas","Maverick County",39.6,23.2,56.6
"Texas","Winkler County",39.5,29.3,50.1
"Texas","Martin County",39.4,27.8,51.5
"Texas","Yoakum County",39.4,27.6,51.6
"Texas","Borden County",39.3,27.1,52
"Texas","Sherman County",39.3,26,53.1
"Texas","Eastland County",39.2,28.5,50.3
"Texas","Hudspeth County",39.2,27.1,51.8
"Texas","Panola County",39.2,31,47.7
"Texas","Jones County",39,29.3,49
"Texas","Gray County",38.9,28.2,50.1
"Texas","Hutchinson County",38.9,26,52.2
