"state","location","both_sexes_2012","females_2012","males_2012","diff_2012"
"Alaska","Alaska",59.5,54.2,65,10.8
"Alaska","Aleutians East Borough",58.5,49.3,68.1,18.8
"Alaska","Aleutians West Census Area",54.4,46.1,63.1,17
"Alaska","Anchorage Municipality",61.4,55.6,67.5,11.9
"Alaska","Bethel Census Area",37.9,31.9,44.2,12.3
"Alaska","Bristol Bay Borough",66.3,61.8,70.9,9.10000000000001
"Alaska","Denali Borough, Yukon-Koyukuk Census Area",48.4,41.6,55.6,14
"Alaska","Dillingham Census Area",45.7,41.2,50.3,9.09999999999999
"Alaska","Fairbanks North Star Borough",60.4,55.8,65.2,9.40000000000001
"Alaska","Haines Borough",67.8,61.9,73.9,12
"Alaska","Hoonah-Angoon Census Area, Skagway Municipality, Yakutat City and Borough",64.4,57.6,71.5,13.9
"Alaska","Juneau City and Borough",65.4,59.9,71.2,11.3
"Alaska","Kenai Peninsula Borough",61.7,57.9,65.6,7.7
"Alaska","Ketchikan Gateway Borough, Petersburg Census Area, Prince of Wales-Hyder Census Area, Wrangell City and Borough",62.3,56.9,67.8,10.9
"Alaska","Kodiak Island Borough",62.7,57.1,68.5,11.4
"Alaska","Lake and Peninsula Borough",51.8,49.2,54.4,5.2
"Alaska","Matanuska-Susitna Borough",57.6,52.5,62.9,10.4
"Alaska","Nome Census Area",39.5,30.8,48.6,17.8
"Alaska","North Slope Borough",50.3,43.6,57.2,13.6
"Alaska","Northwest Arctic Borough",32.6,29.2,36,6.8
"Alaska","Sitka City and Borough",63.4,59.3,67.6,8.3
"Alaska","Southeast Fairbanks Census Area",57.6,49,66.6,17.6
"Alaska","Valdez-Cordova Census Area",61.6,55.3,68,12.7
"Alaska","Wade Hampton Census Area",29.7,25.7,33.9,8.2
