"state","location","both_sexes_2012","females_2012","males_2012","diff_2012"
"Arizona","Apache County",36.2,27.4,45.3,17.9
"Arizona","Arizona",55.8,50.6,61.2,10.6
"Arizona","Cochise County",51.8,42.4,61.5,19.1
"Arizona","Coconino County",54.9,49.9,60.1,10.2
"Arizona","Gila County",52,44.1,60.1,16
"Arizona","Graham County",33.8,26.3,41.7,15.4
"Arizona","Greenlee County",43.7,36.4,51.3,14.9
"Arizona","La Paz County",52.9,49.5,56.5,7
"Arizona","Maricopa County",56.4,51.3,61.7,10.4
"Arizona","Mohave County",58.1,52.7,63.7,11
"Arizona","Navajo County",39.3,30.7,48.1,17.4
"Arizona","Pima County",57,52.6,61.5,8.9
"Arizona","Pinal County",55.6,50.9,60.6,9.7
"Arizona","Santa Cruz County",54.2,44.7,64,19.3
"Arizona","Yavapai County",58.9,54.9,63,8.1
"Arizona","Yuma County",56.3,48.8,64.1,15.3
