"state","location","both_sexes_2012","females_2012","males_2012","diff_2012"
"Arkansas","Arkansas",43.7,35.5,52.2,16.7
"Arkansas","Arkansas County",43.8,35.7,52.2,16.5
"Arkansas","Ashley County",35.6,27.2,44.3,17.1
"Arkansas","Baxter County",48.2,37.9,58.8,20.9
"Arkansas","Benton County",49.9,42.6,57.6,15
"Arkansas","Boone County",37.5,29.2,46.2,17
"Arkansas","Bradley County",34.6,25.3,44.2,18.9
"Arkansas","Calhoun County",39,28.3,50.1,21.8
"Arkansas","Carroll County",45.2,35.2,55.5,20.3
"Arkansas","Chicot County",34.7,24.9,44.9,20
"Arkansas","Clark County",38,28.5,47.8,19.3
"Arkansas","Clay County",36.6,29.8,43.6,13.8
"Arkansas","Cleburne County",43.3,34.6,52.4,17.8
"Arkansas","Cleveland County",40.1,29.8,50.8,21
"Arkansas","Columbia County",41,32.8,49.5,16.7
"Arkansas","Conway County",45.2,34,56.7,22.7
"Arkansas","Craighead County",38.9,31.7,46.4,14.7
"Arkansas","Crawford County",39.7,31.3,48.5,17.2
"Arkansas","Crittenden County",40.7,34,47.6,13.6
"Arkansas","Cross County",38.1,30.3,46.2,15.9
"Arkansas","Dallas County",42,30.7,53.7,23
"Arkansas","Desha County",40.1,29.7,50.8,21.1
"Arkansas","Drew County",39.2,29.7,49,19.3
"Arkansas","Faulkner County",46.1,38.7,53.8,15.1
"Arkansas","Franklin County",45.1,35.6,55,19.4
"Arkansas","Fulton County",37.8,29.1,46.8,17.7
"Arkansas","Garland County",50.6,41.3,60.2,18.9
"Arkansas","Grant County",41.6,33.7,49.8,16.1
"Arkansas","Greene County",38.5,30.7,46.5,15.8
"Arkansas","Hempstead County",38.1,29.4,47.2,17.8
"Arkansas","Hot Spring County",39.8,31.1,48.8,17.7
"Arkansas","Howard County",36.9,27.6,46.6,19
"Arkansas","Independence County",38.9,29.6,48.5,18.9
"Arkansas","Izard County",37.7,27.1,48.7,21.6
"Arkansas","Jackson County",36.3,28.2,44.7,16.5
"Arkansas","Jefferson County",43.5,34.5,52.8,18.3
"Arkansas","Johnson County",38.1,26.6,50,23.4
"Arkansas","Lafayette County",35.6,26.4,45.2,18.8
"Arkansas","Lawrence County",34.9,26.8,43.3,16.5
"Arkansas","Lee County",35.6,29,42.4,13.4
"Arkansas","Lincoln County",34.4,26.7,42.4,15.7
"Arkansas","Little River County",38.1,29.6,46.9,17.3
"Arkansas","Logan County",37.3,27,47.9,20.9
"Arkansas","Lonoke County",43.2,33.7,53,19.3
"Arkansas","Madison County",38.2,28.1,48.7,20.6
"Arkansas","Marion County",44.3,35.6,53.3,17.7
"Arkansas","Miller County",43.2,34.3,52.5,18.2
"Arkansas","Mississippi County",32.2,23.7,41.1,17.4
"Arkansas","Monroe County",35.7,27.6,44.2,16.6
"Arkansas","Montgomery County",36.5,26.8,46.4,19.6
"Arkansas","Nevada County",40.5,32.1,49.1,17
"Arkansas","Newton County",38.4,28.5,48.7,20.2
"Arkansas","Ouachita County",39.9,27.9,52.3,24.4
"Arkansas","Perry County",39.5,29.4,50,20.6
"Arkansas","Phillips County",37.6,28.6,47,18.4
"Arkansas","Pike County",34.2,24,44.8,20.8
"Arkansas","Poinsett County",32.8,24.1,41.8,17.7
"Arkansas","Polk County",38,27.1,49.3,22.2
"Arkansas","Pope County",43.6,33.5,54,20.5
"Arkansas","Prairie County",38.3,29.8,47.2,17.4
"Arkansas","Pulaski County",53,45.5,60.8,15.3
"Arkansas","Randolph County",33.9,24.3,43.7,19.4
"Arkansas","Saline County",47.8,41.3,54.6,13.3
"Arkansas","Scott County",34.8,25.4,44.7,19.3
"Arkansas","Searcy County",35.6,27.1,44.5,17.4
"Arkansas","Sebastian County",43.8,34.1,53.7,19.6
"Arkansas","Sevier County",32.6,22.9,42.5,19.6
"Arkansas","Sharp County",35.6,25.6,45.9,20.3
"Arkansas","St. Francis County",35.5,28.5,42.7,14.2
"Arkansas","Stone County",36.5,27.3,45.9,18.6
"Arkansas","Union County",38.6,28.9,48.7,19.8
"Arkansas","Van Buren County",41.2,32.7,50.1,17.4
"Arkansas","Washington County",47.5,40.9,54.4,13.5
"Arkansas","White County",36.8,30,43.9,13.9
"Arkansas","Woodruff County",37.6,28.2,47.3,19.1
"Arkansas","Yell County",36.7,26.3,47.5,21.2
