"state","location","both_sexes_2012","females_2012","males_2012","diff_2012"
"California","Alameda County",59.8,54.4,65.3,10.9
"California","Alpine County",61.4,59.9,63,3.1
"California","Amador County",62.4,59.3,65.5,6.2
"California","Butte County",58.4,51.8,65.3,13.5
"California","Calaveras County",60.6,56.2,65.3,9.09999999999999
"California","California",56.5,49.4,63.8,14.4
"California","Colusa County",54.7,44.5,65.3,20.8
"California","Contra Costa County",63.4,57.8,69.2,11.4
"California","Del Norte County",54.2,49.6,59.1,9.5
"California","El Dorado County",65.9,61.5,70.5,9
"California","Fresno County",46.2,37.7,55,17.3
"California","Glenn County",54.1,45.1,63.4,18.3
"California","Humboldt County",62.3,58.1,66.7,8.6
"California","Imperial County",43.9,31.1,57.2,26.1
"California","Inyo County",58.6,52.5,64.9,12.4
"California","Kern County",46.9,38.4,55.8,17.4
"California","Kings County",49.2,41.2,57.6,16.4
"California","Lake County",57.3,50.4,64.5,14.1
"California","Lassen County",57.8,55.4,60.3,4.9
"California","Los Angeles County",52.9,45.4,60.7,15.3
"California","Madera County",48.6,38.8,58.8,20
"California","Marin County",72.7,69.1,76.5,7.40000000000001
"California","Mariposa County",59.5,55.1,64,8.9
"California","Mendocino County",62.4,57.4,67.6,10.2
"California","Merced County",46.5,37.1,56.2,19.1
"California","Modoc County",60.3,55.4,65.4,10
"California","Mono County",62.4,57.3,67.8,10.5
"California","Monterey County",53.2,44.4,62.3,17.9
"California","Napa County",65.2,58.2,72.4,14.2
"California","Nevada County",66.6,62.8,70.6,7.8
"California","Orange County",59.3,52.6,66.2,13.6
"California","Placer County",63.2,58.9,67.7,8.8
"California","Plumas County",63.9,59.4,68.6,9.2
"California","Riverside County",54.4,46,63.1,17.1
"California","Sacramento County",57.2,52.2,62.4,10.2
"California","San Benito County",54.6,44.7,64.9,20.2
"California","San Bernardino County",50.4,41.9,59.3,17.4
"California","San Diego County",60.5,53.6,67.7,14.1
"California","San Francisco County",65.7,59.9,71.8,11.9
"California","San Joaquin County",51.9,43.2,61,17.8
"California","San Luis Obispo County",63.3,58.6,68.1,9.49999999999999
"California","San Mateo County",63.8,57.7,70.2,12.5
"California","Santa Barbara County",60.1,52.2,68.3,16.1
"California","Santa Clara County",58.7,51.7,65.9,14.2
"California","Santa Cruz County",63.8,58.1,69.7,11.6
"California","Shasta County",56.9,51.2,62.8,11.6
"California","Sierra County",60.6,55.9,65.4,9.50000000000001
"California","Siskiyou County",58.5,53,64.2,11.2
"California","Solano County",58,51.9,64.3,12.4
"California","Sonoma County",67.3,62.7,72.2,9.5
"California","Stanislaus County",50.5,41.9,59.3,17.4
"California","Sutter County",52.4,43.9,61.1,17.2
"California","Tehama County",57.1,50.4,64.1,13.7
"California","Trinity County",61.8,57.5,66.4,8.90000000000001
"California","Tulare County",45.5,35.4,56,20.6
"California","Tuolumne County",58.3,54.9,61.9,7
"California","Ventura County",60,53.3,66.9,13.6
"California","Yolo County",62.4,55.2,69.8,14.6
"California","Yuba County",54.4,45.7,63.4,17.7
