"state","location","both_sexes_2012","females_2012","males_2012","diff_2012"
"Colorado","Adams County, Boulder County, Broomfield County, Jefferson County, Weld County",64.4,58.1,70.9,12.8
"Colorado","Alamosa County",47.3,39.7,55.1,15.4
"Colorado","Arapahoe County",64.3,59.7,69.1,9.39999999999999
"Colorado","Archuleta County",63.8,55.5,72.4,16.9
"Colorado","Baca County",53.6,46.9,60.6,13.7
"Colorado","Bent County",52.7,47.8,57.9,10.1
"Colorado","Chaffee County",65.5,61.6,69.5,7.9
"Colorado","Cheyenne County",60.4,52,69.2,17.2
"Colorado","Clear Creek County",72.8,66.8,79,12.2
"Colorado","Colorado",63.4,57.8,69.3,11.5
"Colorado","Conejos County",36.9,27.5,46.6,19.1
"Colorado","Costilla County",46.1,37.6,54.9,17.3
"Colorado","Crowley County",46,40.4,51.8,11.4
"Colorado","Custer County",63.9,57.4,70.6,13.2
"Colorado","Delta County",61.7,57.7,65.8,8.09999999999999
"Colorado","Denver County",63.3,57.2,69.6,12.4
"Colorado","Dolores County",67.8,60.8,75.1,14.3
"Colorado","Douglas County",70.2,66.7,73.7,7
"Colorado","Eagle County",72.6,66.2,79.2,13
"Colorado","El Paso County",58.9,54.1,63.9,9.8
"Colorado","Elbert County",63.4,57.2,69.8,12.6
"Colorado","Fremont County",56.7,51.7,62,10.3
"Colorado","Garfield County",65.8,59.4,72.6,13.2
"Colorado","Gilpin County",72.3,65.8,78.9,13.1
"Colorado","Grand County",72.6,67.1,78.2,11.1
"Colorado","Gunnison County",71.8,65.4,78.4,13
"Colorado","Hinsdale County",74.3,68.6,80.2,11.6
"Colorado","Huerfano County",61.5,54.4,68.8,14.4
"Colorado","Jackson County",68.8,61.9,76.1,14.2
"Colorado","Kiowa County",32.7,25.2,40.4,15.2
"Colorado","Kit Carson County",54.6,47.8,61.6,13.8
"Colorado","La Plata County",69.4,63.6,75.3,11.7
"Colorado","Lake County",66.5,62.2,70.9,8.7
"Colorado","Larimer County",67,61.7,72.4,10.7
"Colorado","Las Animas County",55.3,46.3,64.5,18.2
"Colorado","Lincoln County",53.3,49.1,57.7,8.6
"Colorado","Logan County",59.1,53.2,65.2,12
"Colorado","Mesa County",58,53.5,62.6,9.1
"Colorado","Mineral County",51.1,43.7,58.7,15
"Colorado","Moffat County",61.4,54.2,68.9,14.7
"Colorado","Montezuma County",56.1,47.5,65.1,17.6
"Colorado","Montrose County",60.1,52.3,68.1,15.8
"Colorado","Morgan County",53.3,41.5,65.4,23.9
"Colorado","Otero County",51.6,44.9,58.5,13.6
"Colorado","Ouray County",74.9,67.7,82.4,14.7
"Colorado","Park County",70.2,64.5,76.1,11.6
"Colorado","Phillips County",50.8,41.5,60.4,18.9
"Colorado","Pitkin County",78,73.9,82.4,8.5
"Colorado","Prowers County",50.8,44.3,57.5,13.2
"Colorado","Pueblo County",55.5,50.3,60.8,10.5
"Colorado","Rio Blanco County",61.3,52.6,70.3,17.7
"Colorado","Rio Grande County",54.2,45.4,63.4,18
"Colorado","Routt County",76.7,73.5,80,6.5
"Colorado","Saguache County",51.1,42.7,59.7,17
"Colorado","San Juan County",68.5,60.9,76.5,15.6
"Colorado","San Miguel County",76.4,71.1,81.8,10.7
"Colorado","Sedgwick County",51.1,43.9,58.7,14.8
"Colorado","Summit County",78.6,75.6,81.7,6.10000000000001
"Colorado","Teller County",65.6,58.6,72.9,14.3
"Colorado","Washington County",58.4,51.2,65.8,14.6
"Colorado","Yuma County",58.9,51.4,66.8,15.4
