"state","location","both_sexes_2012","females_2012","males_2012","diff_2012"
"Florida","Alachua County",60.2,54.7,65.8,11.1
"Florida","Baker County",42.1,33.8,50.7,16.9
"Florida","Bay County",53.5,47.6,59.5,11.9
"Florida","Bradford County",41.1,32.6,50,17.4
"Florida","Brevard County",60.4,53.9,67.2,13.3
"Florida","Broward County",58.2,49.3,67.5,18.2
"Florida","Calhoun County",40.2,32.5,48.2,15.7
"Florida","Charlotte County",64.4,58.8,70.2,11.4
"Florida","Citrus County",59.8,53,67,14
"Florida","Clay County",56.5,51.3,61.9,10.6
"Florida","Collier County",65.4,62.7,68.3,5.59999999999999
"Florida","Columbia County",44.4,38.8,50.2,11.4
"Florida","DeSoto County",45.8,40,51.8,11.8
"Florida","Dixie County",42.1,36.7,47.7,11
"Florida","Duval County",52.1,45.2,59.2,14
"Florida","Escambia County",53.5,43.6,63.7,20.1
"Florida","Flagler County",61.5,54.1,69.1,15
"Florida","Florida",58.1,51.4,65,13.6
"Florida","Franklin County",57.2,47.2,67.5,20.3
"Florida","Gadsden County",43.7,34.8,53,18.2
"Florida","Gilchrist County",41.3,33.3,49.5,16.2
"Florida","Glades County",44.3,37.4,51.4,14
"Florida","Gulf County",46.4,37.3,55.8,18.5
"Florida","Hamilton County",40.1,32.7,47.9,15.2
"Florida","Hardee County",38.6,29.3,48.4,19.1
"Florida","Hendry County",44.3,37,51.8,14.8
"Florida","Hernando County",59.3,53.8,64.9,11.1
"Florida","Highlands County",52.9,45.9,60.1,14.2
"Florida","Hillsborough County",57,50.8,63.5,12.7
"Florida","Holmes County",41.2,32,50.6,18.6
"Florida","Indian River County",65.7,63.1,68.3,5.2
"Florida","Jackson County",41.8,32.5,51.4,18.9
"Florida","Jefferson County",45.7,36,55.8,19.8
"Florida","Lafayette County",39.9,32.9,47.1,14.2
"Florida","Lake County",58.9,52.4,65.7,13.3
"Florida","Lee County",64.5,58.5,70.7,12.2
"Florida","Leon County",59.8,51.2,68.7,17.5
"Florida","Levy County",44.3,36,52.9,16.9
"Florida","Liberty County",32.4,23.5,41.6,18.1
"Florida","Madison County",40.6,32.3,49.3,17
"Florida","Manatee County",62,57.1,67,9.9
"Florida","Marion County",57.9,52.1,63.8,11.7
"Florida","Martin County",67,61.5,72.6,11.1
"Florida","Miami-Dade County",53.3,45.8,61.1,15.3
"Florida","Monroe County",68.9,65.3,72.6,7.3
"Florida","Nassau County",54.3,47,61.9,14.9
"Florida","Okaloosa County",57.2,51.3,63.3,12
"Florida","Okeechobee County",48.1,41.9,54.5,12.6
"Florida","Orange County",57,50,64.3,14.3
"Florida","Osceola County",50.6,44.5,56.9,12.4
"Florida","Palm Beach County",61.8,54.9,69,14.1
"Florida","Pasco County",59.9,53.6,66.5,12.9
"Florida","Pinellas County",65,57.9,72.3,14.4
"Florida","Polk County",53.1,45.4,61.1,15.7
"Florida","Putnam County",43.8,35.7,52.2,16.5
"Florida","Santa Rosa County",57.7,53.9,61.7,7.8
"Florida","Sarasota County",68.6,62.6,74.8,12.2
"Florida","Seminole County",60.9,56.6,65.4,8.8
"Florida","St. Johns County",69,65.1,73,7.90000000000001
"Florida","St. Lucie County",57,50.9,63.3,12.4
"Florida","Sumter County",63.3,59,67.8,8.8
"Florida","Suwannee County",39,31.8,46.5,14.7
"Florida","Taylor County",42.5,35.3,49.9,14.6
"Florida","Union County",40.3,33,48,15
"Florida","Volusia County",57.7,50.9,64.7,13.8
"Florida","Wakulla County",52.7,43.3,62.5,19.2
"Florida","Walton County",54.7,49,60.6,11.6
"Florida","Washington County",37.3,28.9,46,17.1
