"state","location","both_sexes_2012","females_2012","males_2012","diff_2012"
"Georgia","Appling County",32.8,24,41.9,17.9
"Georgia","Atkinson County",31.6,22.3,41.3,19
"Georgia","Bacon County",30.2,22.7,38,15.3
"Georgia","Baker County",42.4,33.7,51.4,17.7
"Georgia","Baldwin County",44.6,39.6,49.7,10.1
"Georgia","Banks County",35.4,28.8,42.3,13.5
"Georgia","Barrow County",49,41.8,56.4,14.6
"Georgia","Bartow County",43.2,33,53.7,20.7
"Georgia","Ben Hill County",35.4,27,44.2,17.2
"Georgia","Berrien County",42.7,34,51.7,17.7
"Georgia","Bibb County",45.4,40.1,50.8,10.7
"Georgia","Bleckley County",35.8,28.1,43.9,15.8
"Georgia","Brantley County",34.5,26.6,42.7,16.1
"Georgia","Brooks County",39.9,31.1,49.1,18
"Georgia","Bryan County",54.5,46.2,63.2,17
"Georgia","Bulloch County",44.7,37.5,52.2,14.7
"Georgia","Burke County",34.7,26.3,43.5,17.2
"Georgia","Butts County",37.7,30,45.6,15.6
"Georgia","Calhoun County",31.3,24.5,38.4,13.9
"Georgia","Camden County",51.4,43.5,59.7,16.2
"Georgia","Candler County",41.4,32.9,50.2,17.3
"Georgia","Carroll County",43,34.4,51.9,17.5
"Georgia","Catoosa County",43,32.9,53.5,20.6
"Georgia","Charlton County",37.6,30.5,44.9,14.4
"Georgia","Chatham County",56.5,50.8,62.5,11.7
"Georgia","Chattahoochee County",44.2,33.1,55.7,22.6
"Georgia","Chattooga County",32.1,22,42.6,20.6
"Georgia","Cherokee County",56.5,47.8,65.6,17.8
"Georgia","Clarke County",53.9,51.2,56.6,5.4
"Georgia","Clay County",33,24.5,41.9,17.4
"Georgia","Clayton County",41.5,32.1,51.2,19.1
"Georgia","Clinch County",37.7,29.4,46.3,16.9
"Georgia","Cobb County",60.5,52.3,68.9,16.6
"Georgia","Coffee County",33,24.5,41.8,17.3
"Georgia","Colquitt County",36.3,27.7,45.2,17.5
"Georgia","Columbia County",58.5,50,67.3,17.3
"Georgia","Cook County",36.4,28.7,44.5,15.8
"Georgia","Coweta County",49.5,39.7,59.5,19.8
"Georgia","Crawford County",43.2,35.4,51.3,15.9
"Georgia","Crisp County",39.8,33,46.9,13.9
"Georgia","Dade County",42.4,30.8,54.4,23.6
"Georgia","Dawson County",47.5,38.8,56.5,17.7
"Georgia","Decatur County",38.8,28.2,49.7,21.5
"Georgia","DeKalb County",58.2,50.5,66.2,15.7
"Georgia","Dodge County",31.2,23.4,39.3,15.9
"Georgia","Dooly County",34.1,26.4,42.2,15.8
"Georgia","Dougherty County",44.6,39,50.5,11.5
"Georgia","Douglas County",47.4,39.8,55.4,15.6
"Georgia","Early County",37.2,28.6,46.1,17.5
"Georgia","Echols County",37.5,29.6,45.6,16
"Georgia","Effingham County",46.1,37.3,55.2,17.9
"Georgia","Elbert County",40.7,31.3,50.5,19.2
"Georgia","Emanuel County",37.4,29.6,45.5,15.9
"Georgia","Evans County",40.8,33.3,48.6,15.3
"Georgia","Fannin County",36.5,29.8,43.5,13.7
"Georgia","Fayette County",58.1,49.6,66.8,17.2
"Georgia","Floyd County",40.5,32,49.3,17.3
"Georgia","Forsyth County",60.6,51.6,69.9,18.3
"Georgia","Franklin County",35.8,27.8,44.2,16.4
"Georgia","Fulton County",61.1,55.3,67.2,11.9
"Georgia","Georgia",50,42.5,57.9,15.4
"Georgia","Gilmer County",42.6,33.6,51.8,18.2
"Georgia","Glascock County",34.5,26.9,42.4,15.5
"Georgia","Glynn County",55,49.1,61,11.9
"Georgia","Gordon County",40.1,31.2,49.4,18.2
"Georgia","Grady County",38.5,29,48.4,19.4
"Georgia","Greene County",47.7,39.6,56,16.4
"Georgia","Gwinnett County",55.5,47.5,63.7,16.2
"Georgia","Habersham County",40.7,32.2,49.6,17.4
"Georgia","Hall County",46.7,38.5,55.3,16.8
"Georgia","Hancock County",33,27.2,39.1,11.9
"Georgia","Haralson County",35.2,25.1,45.7,20.6
"Georgia","Harris County",47.9,39.6,56.4,16.8
"Georgia","Hart County",37.2,30.4,44.3,13.9
"Georgia","Heard County",33.7,24.7,43.1,18.4
"Georgia","Henry County",48.2,39.9,56.7,16.8
"Georgia","Houston County",50.5,43.8,57.4,13.6
"Georgia","Irwin County",37.6,29.1,46.4,17.3
"Georgia","Jackson County",46.6,39.9,53.5,13.6
"Georgia","Jasper County",41.6,33.8,49.7,15.9
"Georgia","Jeff Davis County",30.2,22.7,38,15.3
"Georgia","Jefferson County",34.1,26,42.6,16.6
"Georgia","Jenkins County",30.1,22.2,38.3,16.1
"Georgia","Johnson County",33.9,27,41.1,14.1
"Georgia","Jones County",44.8,38,51.9,13.9
"Georgia","Lamar County",37.3,29.9,44.9,15
"Georgia","Lanier County",44.6,37.2,52.4,15.2
"Georgia","Laurens County",37.3,29.9,44.9,15
"Georgia","Lee County",48.4,41.7,55.5,13.8
"Georgia","Liberty County",46.4,38.4,54.6,16.2
"Georgia","Lincoln County",39.3,29.9,49,19.1
"Georgia","Long County",38.8,32.4,45.4,13
"Georgia","Lowndes County",46.1,40,52.4,12.4
"Georgia","Lumpkin County",50.1,43.1,57.3,14.2
"Georgia","Macon County",37.6,29.9,45.7,15.8
"Georgia","Madison County",39.7,33,46.7,13.7
"Georgia","Marion County",37,28.8,45.5,16.7
"Georgia","McDuffie County",38.6,29.6,47.9,18.3
"Georgia","McIntosh County",44.5,37.3,52,14.7
"Georgia","Meriwether County",40.1,31.9,48.6,16.7
"Georgia","Miller County",45.7,36,55.7,19.7
"Georgia","Mitchell County",36.7,27.3,46.4,19.1
"Georgia","Monroe County",46,38.4,53.9,15.5
"Georgia","Montgomery County",32.4,25.6,39.5,13.9
"Georgia","Morgan County",51.3,43.6,59.4,15.8
"Georgia","Murray County",33.5,25.2,42,16.8
"Georgia","Muscogee County",49.6,40.1,59.4,19.3
"Georgia","Newton County",45.7,38.3,53.3,15
"Georgia","Oconee County",56.8,51.6,62.3,10.7
"Georgia","Oglethorpe County",42.7,35.2,50.6,15.4
"Georgia","Paulding County",49,38.1,60.3,22.2
"Georgia","Peach County",44.7,37.2,52.5,15.3
"Georgia","Pickens County",53.1,44.1,62.5,18.4
"Georgia","Pierce County",34,26.8,41.5,14.7
"Georgia","Pike County",41.1,32.8,49.7,16.9
