"state","location","both_sexes_2012","females_2012","males_2012","diff_2012"
"Illinois","Adams County",56.9,50,64.1,14.1
"Illinois","Alexander County",37.9,32.3,43.7,11.4
"Illinois","Bond County",52.6,46.7,58.8,12.1
"Illinois","Boone County",61.3,55.5,67.4,11.9
"Illinois","Brown County",56.8,53,60.8,7.8
"Illinois","Bureau County",56.1,48.2,64.2,16
"Illinois","Calhoun County",63.9,59.5,68.5,9
"Illinois","Carroll County",57.9,51.5,64.5,13
"Illinois","Cass County",51.9,45,59.1,14.1
"Illinois","Champaign County",59.4,54,65,11
"Illinois","Christian County",52.9,47,59.1,12.1
"Illinois","Clark County",45.5,36.2,55.1,18.9
"Illinois","Clay County",46.1,38,54.6,16.6
"Illinois","Clinton County",66.5,62.2,70.9,8.7
"Illinois","Coles County",52.7,45,60.6,15.6
"Illinois","Cook County",62.3,55.8,69.1,13.3
"Illinois","Crawford County",47.3,38.9,56,17.1
"Illinois","Cumberland County",47.8,39.7,56.2,16.5
"Illinois","De Witt County",54.5,45.8,63.5,17.7
"Illinois","DeKalb County",62.4,57.1,68,10.9
"Illinois","Douglas County",49.4,41.4,57.7,16.3
"Illinois","DuPage County",69.6,65.6,73.8,8.2
"Illinois","Edgar County",47.2,38.8,55.9,17.1
"Illinois","Edwards County",42,33.1,51.1,18
"Illinois","Effingham County",58,51.3,65,13.7
"Illinois","Fayette County",45.4,38.1,53,14.9
"Illinois","Ford County",53.7,46.1,61.7,15.6
"Illinois","Franklin County",47.3,39.2,55.8,16.6
"Illinois","Fulton County",49.5,43.3,55.9,12.6
"Illinois","Gallatin County",48.7,40.8,57,16.2
"Illinois","Greene County",50.8,44.3,57.6,13.3
"Illinois","Grundy County",59.5,52.4,66.8,14.4
"Illinois","Hamilton County",47.8,39.5,56.5,17
"Illinois","Hancock County",48.1,43.6,52.7,9.1
"Illinois","Hardin County",44,37.2,50.9,13.7
"Illinois","Henderson County",52.3,45.1,59.7,14.6
"Illinois","Henry County",57.5,50.1,65.2,15.1
"Illinois","Illinois",61.1,54.8,67.7,12.9
"Illinois","Iroquois County",52.6,44,61.4,17.4
"Illinois","Jackson County",50.2,43.6,57.1,13.5
"Illinois","Jasper County",55.5,48,63.3,15.3
"Illinois","Jefferson County",46.1,39.1,53.3,14.2
"Illinois","Jersey County",59,53,65.2,12.2
"Illinois","Jo Daviess County",68.8,64.8,73.1,8.3
"Illinois","Johnson County",43.4,37.6,49.4,11.8
"Illinois","Kane County",65.2,58.3,72.4,14.1
"Illinois","Kankakee County",56.6,50.2,63.2,13
"Illinois","Kendall County",65.2,58.7,71.9,13.2
"Illinois","Knox County",53.8,47.4,60.4,13
"Illinois","Lake County",66.4,60.2,72.8,12.6
"Illinois","LaSalle County",60.1,52.6,68,15.4
"Illinois","Lawrence County",43.3,37.7,49,11.3
"Illinois","Lee County",59.5,53.3,65.9,12.6
"Illinois","Livingston County",53.3,45.3,61.6,16.3
"Illinois","Logan County",52.5,45.1,60.2,15.1
"Illinois","Macon County",52.8,45.5,60.4,14.9
"Illinois","Macoupin County",54.2,46.7,61.9,15.2
"Illinois","Madison County",57.4,50.5,64.6,14.1
"Illinois","Marion County",45.3,39,51.8,12.8
"Illinois","Marshall County",57,49.4,64.8,15.4
"Illinois","Mason County",50.4,43.2,57.8,14.6
"Illinois","Massac County",43.1,34.3,52.3,18
"Illinois","McDonough County",53.1,45.7,60.9,15.2
"Illinois","McHenry County",68.6,63.7,73.7,10
"Illinois","McLean County",58,51.1,65.1,14
"Illinois","Menard County",54.2,46.7,62,15.3
"Illinois","Mercer County",54.9,47.9,62.1,14.2
"Illinois","Monroe County",61.8,56.5,67.2,10.7
"Illinois","Montgomery County",47.9,44.2,51.8,7.59999999999999
"Illinois","Morgan County",52,47.2,57,9.8
"Illinois","Moultrie County",49.3,41.1,57.9,16.8
"Illinois","Ogle County",59.1,53.4,65,11.6
"Illinois","Peoria County",55.8,48,63.8,15.8
"Illinois","Perry County",48.2,42.7,53.8,11.1
"Illinois","Piatt County",55.5,47.6,63.6,16
"Illinois","Pike County",48.1,41.6,54.8,13.2
"Illinois","Pope County",42.1,34.3,50.3,16
"Illinois","Pulaski County",36,29.5,42.7,13.2
"Illinois","Putnam County",57.9,51,65.1,14.1
"Illinois","Randolph County",52,47.5,56.6,9.1
"Illinois","Richland County",47.5,40.4,54.9,14.5
"Illinois","Rock Island County",57.6,48.4,67.2,18.8
"Illinois","Saline County",42.4,34.1,51.1,17
"Illinois","Sangamon County",58,52.7,63.6,10.9
"Illinois","Schuyler County",53.3,45.6,61.2,15.6
"Illinois","Scott County",46.7,39.1,54.7,15.6
"Illinois","Shelby County",51.3,43.6,59.4,15.8
"Illinois","St. Clair County",55,48.9,61.2,12.3
"Illinois","Stark County",51.2,43.1,59.6,16.5
"Illinois","Stephenson County",57.2,50.3,64.3,14
"Illinois","Tazewell County",57.3,48.9,65.9,17
"Illinois","Union County",43.6,35.7,51.9,16.2
"Illinois","Vermilion County",48,40.2,56.1,15.9
"Illinois","Wabash County",51.1,42.2,60.3,18.1
"Illinois","Warren County",54.3,47.5,61.4,13.9
"Illinois","Washington County",59.1,52.5,66.1,13.6
"Illinois","Wayne County",44.6,36.1,53.5,17.4
"Illinois","White County",46.6,37.6,55.9,18.3
"Illinois","Whiteside County",55.8,47.7,64.1,16.4
"Illinois","Will County",64.5,58.5,70.6,12.1
"Illinois","Williamson County",49.7,41.4,58.4,17
"Illinois","Winnebago County",60.3,55.6,65.2,9.6
"Illinois","Woodford County",59,50.1,68.2,18.1
