"state","location","both_sexes_2012","females_2012","males_2012","diff_2012"
"Indiana","Adams County",43.9,35,53.2,18.2
"Indiana","Allen County",56.2,48.4,64.3,15.9
"Indiana","Bartholomew County",52.6,43.1,62.3,19.2
"Indiana","Benton County",50.1,42.3,58.3,16
"Indiana","Blackford County",46,37.4,54.9,17.5
"Indiana","Boone County",56.5,47.2,66.2,19
"Indiana","Brown County",50,43.4,56.9,13.5
"Indiana","Carroll County",50.6,42,59.5,17.5
"Indiana","Cass County",46.4,39.6,53.5,13.9
"Indiana","Clark County",51.3,42.5,60.3,17.8
"Indiana","Clay County",42.2,31.7,53.2,21.5
"Indiana","Clinton County",49.8,40.2,59.8,19.6
"Indiana","Crawford County",36.2,30.6,42,11.4
"Indiana","Daviess County",45.5,36.4,54.9,18.5
"Indiana","Dearborn County",56.8,50.9,62.9,12
"Indiana","Decatur County",51.1,43,59.4,16.4
"Indiana","DeKalb County",52.9,43.4,62.8,19.4
"Indiana","Delaware County",46.2,40.1,52.6,12.5
"Indiana","Dubois County",59.8,51.8,68,16.2
"Indiana","Elkhart County",50.9,42.2,60,17.8
"Indiana","Fayette County",42.4,34,51,17
"Indiana","Floyd County",49,42.3,55.8,13.5
"Indiana","Fountain County",46.9,36.5,57.7,21.2
"Indiana","Franklin County",53.5,45.3,61.9,16.6
"Indiana","Fulton County",48.5,40.8,56.5,15.7
"Indiana","Gibson County",51.2,42.4,60.3,17.9
"Indiana","Grant County",44.6,37.2,52.4,15.2
"Indiana","Greene County",42.7,34.5,51.3,16.8
"Indiana","Hamilton County",63.6,55.4,72,16.6
"Indiana","Hancock County",54.1,44.9,63.7,18.8
"Indiana","Harrison County",48.1,40.1,56.4,16.3
"Indiana","Hendricks County",53,42.9,63.5,20.6
"Indiana","Henry County",43.8,34.2,53.8,19.6
"Indiana","Howard County",48.3,38.5,58.4,19.9
"Indiana","Huntington County",49.7,42.6,57.2,14.6
"Indiana","Indiana",52.1,44.3,60.1,15.8
"Indiana","Jackson County",46.5,36.8,56.5,19.7
"Indiana","Jasper County",52,43.6,60.7,17.1
"Indiana","Jay County",46.4,38.9,54.1,15.2
"Indiana","Jefferson County",48.4,40.6,56.5,15.9
"Indiana","Jennings County",44.2,38.2,50.5,12.3
"Indiana","Johnson County",52.9,45.6,60.6,15
"Indiana","Knox County",48.4,40.2,56.9,16.7
"Indiana","Kosciusko County",52.8,44.5,61.4,16.9
"Indiana","LaGrange County",42.4,34.1,50.9,16.8
"Indiana","Lake County",54.2,46.4,62.3,15.9
"Indiana","LaPorte County",55.3,50.4,60.3,9.9
"Indiana","Lawrence County",42.3,34.9,50,15.1
"Indiana","Madison County",47.9,41,55,14
"Indiana","Marion County",52.8,45.3,60.6,15.3
"Indiana","Marshall County",48.9,41.9,56.1,14.2
"Indiana","Martin County",50.8,42.9,58.9,16
"Indiana","Miami County",42.1,35.3,49.1,13.8
"Indiana","Monroe County",55.3,48.2,62.8,14.6
"Indiana","Montgomery County",46.3,35.8,57.1,21.3
"Indiana","Morgan County",47,38.8,55.6,16.8
"Indiana","Newton County",51.3,43.6,59.3,15.7
"Indiana","Noble County",47.3,38.9,56.1,17.2
"Indiana","Ohio County",48.7,41,56.7,15.7
"Indiana","Orange County",43.2,36,50.6,14.6
"Indiana","Owen County",42.5,33.5,51.8,18.3
"Indiana","Parke County",42.3,31.2,53.8,22.6
"Indiana","Perry County",51.6,45.4,58,12.6
"Indiana","Pike County",44.5,35.3,54.2,18.9
"Indiana","Porter County",60,52.5,67.8,15.3
"Indiana","Posey County",51.9,44.2,59.9,15.7
"Indiana","Pulaski County",49.9,42.5,57.6,15.1
"Indiana","Putnam County",44.5,36.7,52.5,15.8
"Indiana","Randolph County",43.5,35.8,51.5,15.7
"Indiana","Ripley County",52.1,46.9,57.4,10.5
"Indiana","Rush County",46.8,36.4,57.6,21.2
"Indiana","Scott County",43.1,35.1,51.4,16.3
"Indiana","Shelby County",49,40.5,57.8,17.3
"Indiana","Spencer County",51.3,43.3,59.7,16.4
"Indiana","St. Joseph County",57.8,51.6,64.3,12.7
"Indiana","Starke County",49.9,42.6,57.6,15
"Indiana","Steuben County",53.9,46.4,61.6,15.2
"Indiana","Sullivan County",41.5,32.6,50.7,18.1
"Indiana","Switzerland County",45.8,38,54,16
"Indiana","Tippecanoe County",53.8,46,61.8,15.8
"Indiana","Tipton County",50.3,41.5,59.3,17.8
"Indiana","Union County",47.3,38.8,56.2,17.4
"Indiana","Vanderburgh County",51.5,44.9,58.5,13.6
"Indiana","Vermillion County",43.7,36.7,51,14.3
"Indiana","Vigo County",49.5,40.8,58.5,17.7
"Indiana","Wabash County",47.9,39.6,56.4,16.8
"Indiana","Warren County",47.1,39.1,55.4,16.3
"Indiana","Warrick County",53,44.9,61.5,16.6
"Indiana","Washington County",42.7,34,51.6,17.6
"Indiana","Wayne County",44.6,36.2,53.3,17.1
"Indiana","Wells County",48.9,39,59.2,20.2
"Indiana","White County",49.3,40.3,58.6,18.3
"Indiana","Whitley County",51,45.1,57.2,12.1
