"state","location","both_sexes_2012","females_2012","males_2012","diff_2012"
"Iowa","Adair County",55.8,47.8,64.1,16.3
"Iowa","Adams County",57,48.5,65.9,17.4
"Iowa","Allamakee County",63.9,54.8,73.4,18.6
"Iowa","Appanoose County",51.1,42.6,60,17.4
"Iowa","Audubon County",56.8,47.7,66.2,18.5
"Iowa","Benton County",62.9,55.3,70.8,15.5
"Iowa","Black Hawk County",63.3,57,69.9,12.9
"Iowa","Boone County",60.6,53.3,68.2,14.9
"Iowa","Bremer County",65.9,57.8,74.3,16.5
"Iowa","Buchanan County",64.3,55.7,73.1,17.4
"Iowa","Buena Vista County",56.5,48.8,64.5,15.7
"Iowa","Butler County",60,51.9,68.5,16.6
"Iowa","Calhoun County",58.5,49.1,68.3,19.2
"Iowa","Carroll County",66.4,62.1,70.9,8.8
"Iowa","Cass County",57.5,50.7,64.5,13.8
"Iowa","Cedar County",63.3,52.1,74.9,22.8
"Iowa","Cerro Gordo County",62.7,55.7,69.9,14.2
"Iowa","Cherokee County",63.7,56.2,71.4,15.2
"Iowa","Chickasaw County",64.1,55.4,73.1,17.7
"Iowa","Clarke County",51,45,57.3,12.3
"Iowa","Clay County",62.9,57.1,69,11.9
"Iowa","Clayton County",62.2,52.5,72.2,19.7
"Iowa","Clinton County",65.4,55.1,76,20.9
"Iowa","Crawford County",55.9,48.5,63.6,15.1
"Iowa","Dallas County",63.8,57.9,69.9,12
"Iowa","Davis County",46.9,36.4,57.8,21.4
"Iowa","Decatur County",49.6,39.9,59.7,19.8
"Iowa","Delaware County",64.3,56.1,72.8,16.7
"Iowa","Des Moines County",55.9,47,65.3,18.3
"Iowa","Dickinson County",69.7,63.6,75.9,12.3
"Iowa","Dubuque County",70.7,63.7,77.9,14.2
"Iowa","Emmet County",61.6,54,69.5,15.5
"Iowa","Fayette County",61.9,52.7,71.5,18.8
"Iowa","Floyd County",61.3,52.5,70.4,17.9
"Iowa","Franklin County",57.8,49,67,18
"Iowa","Fremont County",59.8,51.6,68.3,16.7
"Iowa","Greene County",58.8,51.8,66.1,14.3
"Iowa","Grundy County",62.3,53.6,71.4,17.8
"Iowa","Guthrie County",56.9,49,65.1,16.1
"Iowa","Hamilton County",57.7,50,65.5,15.5
"Iowa","Hancock County",59.6,50.8,68.8,18
"Iowa","Hardin County",60.8,53.6,68.3,14.7
"Iowa","Harrison County",57.5,51.2,64,12.8
"Iowa","Henry County",53.9,42.3,65.9,23.6
"Iowa","Howard County",65.5,57.6,73.8,16.2
"Iowa","Humboldt County",63,54.7,71.7,17
"Iowa","Ida County",58.8,49.4,68.4,19
"Iowa","Iowa",62.2,54.7,69.9,15.2
"Iowa","Iowa County",60.6,50.7,70.9,20.2
"Iowa","Jackson County",65.2,53.7,77.2,23.5
"Iowa","Jasper County",55.3,45.7,65.3,19.6
"Iowa","Jefferson County",51.8,44.4,59.4,15
"Iowa","Johnson County",67.9,61,75.1,14.1
"Iowa","Jones County",63.1,53.1,73.4,20.3
"Iowa","Keokuk County",53.2,42,64.9,22.9
"Iowa","Kossuth County",63.5,54,73.3,19.3
"Iowa","Lee County",58.7,51,66.6,15.6
"Iowa","Linn County",65.1,57.1,73.4,16.3
"Iowa","Louisa County",53,41.1,65.3,24.2
"Iowa","Lucas County",56.7,47.7,66.1,18.4
"Iowa","Lyon County",61.6,52.3,71.2,18.9
"Iowa","Madison County",56.8,50,63.8,13.8
"Iowa","Mahaska County",55.4,47.3,63.8,16.5
"Iowa","Marion County",58.6,50.6,67,16.4
"Iowa","Marshall County",56.8,48.6,65.3,16.7
"Iowa","Mills County",57.8,51.6,64.3,12.7
"Iowa","Mitchell County",62.8,53.8,72.1,18.3
"Iowa","Monona County",59.9,53.1,66.9,13.8
"Iowa","Monroe County",59.5,51.4,67.8,16.4
"Iowa","Montgomery County",59.6,52.2,67.3,15.1
"Iowa","Muscatine County",60.2,50.5,70.1,19.6
"Iowa","O'Brien County",62.8,54.6,71.4,16.8
"Iowa","Osceola County",61.2,52.3,70.5,18.2
"Iowa","Page County",55.5,49,62.3,13.3
"Iowa","Palo Alto County",61.8,53.5,70.4,16.9
"Iowa","Plymouth County",67.1,60.6,73.9,13.3
"Iowa","Pocahontas County",61,52,70.4,18.4
"Iowa","Polk County",63,57.7,68.5,10.8
"Iowa","Pottawattamie County",59.6,53.2,66.1,12.9
"Iowa","Poweshiek County",61.9,54.4,69.7,15.3
"Iowa","Ringgold County",54.1,44.8,63.8,19
"Iowa","Sac County",60.6,52.6,68.9,16.3
"Iowa","Scott County",68,59.2,77.2,18
"Iowa","Shelby County",64.6,58.6,70.8,12.2
"Iowa","Sioux County",63.4,53.5,73.6,20.1
"Iowa","Story County",63.6,58.2,69,10.8
"Iowa","Tama County",58.1,48,68.6,20.6
"Iowa","Taylor County",52.3,42.8,62.1,19.3
"Iowa","Union County",58.7,50.7,66.9,16.2
"Iowa","Van Buren County",52,42,62.4,20.4
"Iowa","Wapello County",50,40.4,60,19.6
"Iowa","Warren County",62.4,56.9,68.1,11.2
"Iowa","Washington County",56.8,46.7,67.4,20.7
"Iowa","Wayne County",51.9,42.2,62.1,19.9
"Iowa","Webster County",59.2,53.1,65.5,12.4
"Iowa","Winnebago County",61.4,50.7,72.6,21.9
"Iowa","Winneshiek County",71.3,63.2,79.6,16.4
"Iowa","Woodbury County",59.2,52.2,66.5,14.3
"Iowa","Worth County",58.5,47.9,69.4,21.5
"Iowa","Wright County",62.3,54.7,70.2,15.5
