"state","location","both_sexes_2012","females_2012","males_2012","diff_2012"
"Kansas","Allen County",42.4,33,52.1,19.1
"Kansas","Anderson County",47.1,36.9,57.5,20.6
"Kansas","Atchison County",53,41.3,65.1,23.8
"Kansas","Barber County",51.6,43.6,60,16.4
"Kansas","Barton County",48.7,40.1,57.5,17.4
"Kansas","Bourbon County",45.1,37.5,53,15.5
"Kansas","Brown County",51.9,41.9,62.2,20.3
"Kansas","Butler County",52.1,45.8,58.7,12.9
"Kansas","Chase County",47.5,39.6,55.6,16
"Kansas","Chautauqua County",40.7,31.9,49.7,17.8
"Kansas","Cherokee County",43.7,32.5,55.3,22.8
"Kansas","Cheyenne County",52.6,41.8,63.8,22
"Kansas","Clark County",46.5,36.2,57.1,20.9
"Kansas","Clay County",56.3,47.8,65,17.2
"Kansas","Cloud County",53.6,45.5,62.1,16.6
"Kansas","Coffey County",49.8,41.1,58.9,17.8
"Kansas","Comanche County",51.3,42.6,60.4,17.8
"Kansas","Cowley County",44.3,38.2,50.6,12.4
"Kansas","Crawford County",47.2,39.5,55.3,15.8
"Kansas","Decatur County",54.8,44.4,65.6,21.2
"Kansas","Dickinson County",51.1,43.5,58.8,15.3
"Kansas","Doniphan County",53.3,42.9,64.1,21.2
"Kansas","Douglas County",59.8,53.2,66.6,13.4
"Kansas","Edwards County",51.2,42.9,59.9,17
"Kansas","Elk County",41.7,32.3,51.5,19.2
"Kansas","Ellis County",58.7,53.4,64.3,10.9
"Kansas","Ellsworth County",51.2,43.7,58.9,15.2
"Kansas","Finney County",44.6,35.4,54.1,18.7
"Kansas","Ford County",46.4,39.5,53.5,14
"Kansas","Franklin County",49.7,40.5,59.3,18.8
"Kansas","Geary County",52,44.6,59.7,15.1
"Kansas","Gove County",52.3,41.4,63.6,22.2
"Kansas","Graham County",56.4,48.9,64.2,15.3
"Kansas","Grant County",48.3,40.1,56.8,16.7
"Kansas","Gray County",44.4,34.5,54.6,20.1
"Kansas","Greeley County",50.5,40.6,60.8,20.2
"Kansas","Greenwood County",47.9,38.9,57.1,18.2
"Kansas","Hamilton County",46.4,35.6,57.6,22
"Kansas","Harper County",50.3,41.7,59.3,17.6
"Kansas","Harvey County",48.5,40.4,56.9,16.5
"Kansas","Haskell County",42.5,32,53.3,21.3
"Kansas","Hodgeman County",49.3,40.5,58.5,18
"Kansas","Jackson County",51.8,40.1,64,23.9
"Kansas","Jefferson County",52.9,39.5,66.8,27.3
"Kansas","Jewell County",52.9,42.2,63.9,21.7
"Kansas","Johnson County",62.9,56.8,69.2,12.4
"Kansas","Kansas",53.3,45.6,61.3,15.7
"Kansas","Kearny County",44.9,33.6,56.6,23
"Kansas","Kingman County",51.7,43.5,60.2,16.7
"Kansas","Kiowa County",50.2,41.8,58.9,17.1
"Kansas","Labette County",42,34.9,49.4,14.5
"Kansas","Lane County",54.1,43.9,64.7,20.8
"Kansas","Leavenworth County",55.3,47.6,63.3,15.7
"Kansas","Lincoln County",46.9,37.7,56.3,18.6
"Kansas","Linn County",43.1,33.6,53,19.4
"Kansas","Logan County",50.9,41.7,60.3,18.6
"Kansas","Lyon County",50.5,42.6,58.6,16
"Kansas","Marion County",46.8,38.7,55.1,16.4
"Kansas","Marshall County",56.8,48.1,65.9,17.8
"Kansas","McPherson County",49.1,40.7,57.9,17.2
"Kansas","Meade County",48.8,38.8,59.1,20.3
"Kansas","Miami County",52,42.3,62.1,19.8
"Kansas","Mitchell County",58.1,50,66.6,16.6
"Kansas","Montgomery County",41.9,35.6,48.4,12.8
"Kansas","Morris County",49.2,39.3,59.6,20.3
"Kansas","Morton County",44,33.1,55.3,22.2
"Kansas","Nemaha County",59,49.6,68.9,19.3
"Kansas","Neosho County",44.7,36.5,53.3,16.8
"Kansas","Ness County",54.5,44.6,64.7,20.1
"Kansas","Norton County",55.5,49.8,61.4,11.6
"Kansas","Osage County",48.4,37.5,59.6,22.1
"Kansas","Osborne County",48.3,38.6,58.3,19.7
"Kansas","Ottawa County",50.2,40.7,60,19.3
"Kansas","Pawnee County",53,46.6,59.6,13
"Kansas","Phillips County",51.7,44.6,59,14.4
"Kansas","Pottawatomie County",55.8,45.1,66.8,21.7
"Kansas","Pratt County",52.1,44.4,60,15.6
"Kansas","Rawlins County",58.4,49.5,67.7,18.2
"Kansas","Reno County",48.9,42.4,55.5,13.1
"Kansas","Republic County",55.4,45.3,65.8,20.5
"Kansas","Rice County",48.1,38.5,58.1,19.6
"Kansas","Riley County",57.1,51,63.5,12.5
"Kansas","Rooks County",54.6,46.6,63,16.4
"Kansas","Rush County",51,40,62.4,22.4
"Kansas","Russell County",54.1,45.8,62.6,16.8
"Kansas","Saline County",49.7,41,58.8,17.8
"Kansas","Scott County",52,43,61.3,18.3
"Kansas","Sedgwick County",51.9,44.8,59.2,14.4
"Kansas","Seward County",42.8,32.5,53.5,21
"Kansas","Shawnee County",52.7,44.2,61.4,17.2
"Kansas","Sheridan County",54.9,45.2,65,19.8
"Kansas","Sherman County",56.2,46.9,65.9,19
"Kansas","Smith County",50,39,61.3,22.3
"Kansas","Stafford County",45.2,35.4,55.3,19.9
"Kansas","Stanton County",44.5,33.1,56.3,23.2
"Kansas","Stevens County",47.7,38.1,57.6,19.5
"Kansas","Sumner County",51.5,44,59.2,15.2
"Kansas","Thomas County",56.6,49.2,64.2,15
"Kansas","Trego County",53.3,44.4,62.6,18.2
"Kansas","Wabaunsee County",51.4,41.7,61.4,19.7
"Kansas","Wallace County",50.7,40.6,61.2,20.6
"Kansas","Washington County",59.4,50.7,68.4,17.7
"Kansas","Wichita County",46.6,37.3,56.2,18.9
"Kansas","Wilson County",39.8,30.1,49.8,19.7
"Kansas","Woodson County",42.6,32.8,52.8,20
"Kansas","Wyandotte County",46.6,35.6,57.9,22.3
