"state","location","both_sexes_2012","females_2012","males_2012","diff_2012"
"Kentucky","Adair County",32.2,22.3,42.5,20.2
"Kentucky","Allen County",33.7,26.3,41.4,15.1
"Kentucky","Anderson County",44.4,39,50.1,11.1
"Kentucky","Ballard County",31.2,23.5,39.2,15.7
"Kentucky","Barren County",34.6,27.8,41.7,13.9
"Kentucky","Bath County",29.3,18.9,40.1,21.2
"Kentucky","Bell County",22.7,15.7,30,14.3
"Kentucky","Boone County",56.5,50.2,63.1,12.9
"Kentucky","Bourbon County",41.7,32.6,51.2,18.6
"Kentucky","Boyd County",35.9,27.7,44.4,16.7
"Kentucky","Boyle County",41.2,34.4,48.2,13.8
"Kentucky","Bracken County",41,30.8,51.5,20.7
"Kentucky","Breathitt County",24.7,16.8,32.9,16.1
"Kentucky","Breckinridge County",34.2,22.7,46.1,23.4
"Kentucky","Bullitt County",46.1,42.3,50,7.7
"Kentucky","Butler County",25.7,17.5,34.1,16.6
"Kentucky","Caldwell County",31.9,27.2,36.7,9.5
"Kentucky","Calloway County",41.5,36.7,46.5,9.8
"Kentucky","Campbell County",61.7,55.7,68,12.3
"Kentucky","Carlisle County",34.9,26.3,43.9,17.6
"Kentucky","Carroll County",40.2,32.5,48.1,15.6
"Kentucky","Carter County",28.6,20.6,36.9,16.3
"Kentucky","Casey County",29.9,20.7,39.4,18.7
"Kentucky","Christian County",39.6,31.3,48.1,16.8
"Kentucky","Clark County",41.4,34.6,48.4,13.8
"Kentucky","Clay County",20.9,13.5,28.4,14.9
"Kentucky","Clinton County",29.4,20.1,39,18.9
"Kentucky","Crittenden County",31.7,26,37.6,11.6
"Kentucky","Cumberland County",32.1,21.5,43,21.5
"Kentucky","Daviess County",46.4,38.1,54.9,16.8
"Kentucky","Edmonson County",32.6,25,40.5,15.5
"Kentucky","Elliott County",28.2,19.3,37.3,18
"Kentucky","Estill County",27.5,19.2,36.1,16.9
"Kentucky","Fayette County",56.2,49.3,63.4,14.1
"Kentucky","Fleming County",33.1,24.7,41.9,17.2
"Kentucky","Floyd County",24.3,16.4,32.4,16
"Kentucky","Franklin County",48.8,44.2,53.5,9.3
"Kentucky","Fulton County",36.8,25.3,48.7,23.4
"Kentucky","Gallatin County",36.7,27.3,46.4,19.1
"Kentucky","Garrard County",33.8,26.4,41.5,15.1
"Kentucky","Grant County",34.1,25.7,42.7,17
"Kentucky","Graves County",33.4,24.6,42.5,17.9
"Kentucky","Grayson County",32.8,24.8,41.1,16.3
"Kentucky","Green County",26.4,17.8,35.3,17.5
"Kentucky","Greenup County",33.2,25.7,40.9,15.2
"Kentucky","Hancock County",31,21.3,41.1,19.8
"Kentucky","Hardin County",41.7,33.1,50.7,17.6
"Kentucky","Harlan County",25.3,17.5,33.5,16
"Kentucky","Harrison County",39.7,30,49.7,19.7
"Kentucky","Hart County",29.5,21.3,38.1,16.8
"Kentucky","Henderson County",43.2,36.6,50.1,13.5
"Kentucky","Henry County",38,28.4,48,19.6
"Kentucky","Hickman County",27.9,19.7,36.5,16.8
"Kentucky","Hopkins County",37.6,31.8,43.7,11.9
"Kentucky","Jackson County",24.4,17.3,31.7,14.4
"Kentucky","Jefferson County",54.3,47.6,61.2,13.6
"Kentucky","Jessamine County",44.3,37.4,51.4,14
"Kentucky","Johnson County",28.9,20.7,37.3,16.6
"Kentucky","Kenton County",61.9,56.2,67.8,11.6
"Kentucky","Kentucky",43.1,36,50.4,14.4
"Kentucky","Knott County",24.2,16.8,32,15.2
"Kentucky","Knox County",24,17,31.3,14.3
"Kentucky","Larue County",33.1,25.1,41.3,16.2
"Kentucky","Laurel County",29,21.8,36.3,14.5
"Kentucky","Lawrence County",27.5,19.7,35.5,15.8
"Kentucky","Lee County",23.5,14.8,32.6,17.8
"Kentucky","Leslie County",24.2,15.7,33,17.3
"Kentucky","Letcher County",23.7,15.5,32.1,16.6
"Kentucky","Lewis County",28.4,20.5,36.6,16.1
"Kentucky","Lincoln County",28.4,21.9,35.1,13.2
"Kentucky","Livingston County",34.6,27.9,41.5,13.6
"Kentucky","Logan County",34,25.3,43,17.7
"Kentucky","Lyon County",35.2,27.1,43.7,16.6
"Kentucky","Madison County",42,35.5,48.7,13.2
"Kentucky","Magoffin County",22.5,14.8,30.5,15.7
"Kentucky","Marion County",50.4,40.1,61,20.9
"Kentucky","Marshall County",39.6,32.4,47,14.6
"Kentucky","Martin County",22.6,14.9,30.6,15.7
"Kentucky","Mason County",42.6,33.4,52.2,18.8
"Kentucky","McCracken County",48.3,43.7,53.1,9.4
"Kentucky","McCreary County",25.1,17,33.4,16.4
"Kentucky","McLean County",32.2,23.2,41.6,18.4
"Kentucky","Meade County",40.3,29.2,51.8,22.6
"Kentucky","Menifee County",27.1,19.3,35.3,16
"Kentucky","Mercer County",35,26.3,44,17.7
"Kentucky","Metcalfe County",25.7,15.9,35.8,19.9
"Kentucky","Monroe County",27.2,18.2,36.6,18.4
"Kentucky","Montgomery County",36.6,27.5,46,18.5
"Kentucky","Morgan County",27,18.3,36.1,17.8
"Kentucky","Muhlenberg County",30,23.5,36.7,13.2
"Kentucky","Nelson County",50.4,42.5,58.5,16
"Kentucky","Nicholas County",35.5,25.8,45.6,19.8
"Kentucky","Ohio County",30.4,22.4,38.7,16.3
"Kentucky","Oldham County",55.7,48.5,63.1,14.6
"Kentucky","Owen County",32.4,23.8,41.4,17.6
"Kentucky","Owsley County",23.4,14.3,32.8,18.5
"Kentucky","Pendleton County",33.8,25.4,42.4,17
"Kentucky","Perry County",28.5,19.1,38.3,19.2
"Kentucky","Pike County",24.8,17.1,32.9,15.8
"Kentucky","Powell County",28.9,21.7,36.4,14.7
"Kentucky","Pulaski County",30.3,23.4,37.5,14.1
"Kentucky","Robertson County",31.5,21.9,41.5,19.6
"Kentucky","Rockcastle County",24.5,18.6,30.6,12
"Kentucky","Rowan County",35.7,28.5,43.1,14.6
"Kentucky","Russell County",30.5,21.3,40.1,18.8
"Kentucky","Scott County",46.3,40.5,52.2,11.7
"Kentucky","Shelby County",43.5,35.5,51.8,16.3
"Kentucky","Simpson County",36.9,30.5,43.6,13.1
"Kentucky","Spencer County",40.3,32.5,48.4,15.9
"Kentucky","Taylor County",34.3,25.1,43.9,18.8
"Kentucky","Todd County",27.5,18.7,36.6,17.9
"Kentucky","Trigg County",38.6,31.8,45.6,13.8
"Kentucky","Trimble County",35.3,26.2,44.8,18.6
"Kentucky","Union County",45.8,40.8,50.9,10.1
"Kentucky","Warren County",46.9,41.8,52.2,10.4
"Kentucky","Washington County",42.8,32,54.1,22.1
"Kentucky","Wayne County",25.6,18.3,33.1,14.8
"Kentucky","Webster County",33.6,25.9,41.7,15.8
"Kentucky","Whitley County",25.2,18.2,32.3,14.1
"Kentucky","Wolfe County",28.1,18.8,37.8,19
"Kentucky","Woodford County",51.2,42.6,60,17.4
