"state","location","both_sexes_2012","females_2012","males_2012","diff_2012"
"Louisiana","Acadia Parish",48.7,41.1,56.6,15.5
"Louisiana","Allen Parish",42.6,34.2,51.4,17.2
"Louisiana","Ascension Parish",56.6,47.9,65.6,17.7
"Louisiana","Assumption Parish",51.8,44.8,59.1,14.3
"Louisiana","Avoyelles Parish",46.8,36.6,57.5,20.9
"Louisiana","Beauregard Parish",40.7,33.8,47.9,14.1
"Louisiana","Bienville Parish",37.2,27.2,47.5,20.3
"Louisiana","Bossier Parish",46.9,37.6,56.5,18.9
"Louisiana","Caddo Parish",47.7,37.9,57.9,20
"Louisiana","Calcasieu Parish",50.2,43.2,57.4,14.2
"Louisiana","Caldwell Parish",34,23.5,44.8,21.3
"Louisiana","Cameron Parish",49.9,41.4,58.6,17.2
"Louisiana","Catahoula Parish",33.3,22.6,44.5,21.9
"Louisiana","Claiborne Parish",38.6,29.3,48.2,18.9
"Louisiana","Concordia Parish",41.2,31.7,51.1,19.4
"Louisiana","De Soto Parish",39.3,29.9,49.1,19.2
"Louisiana","East Baton Rouge Parish",57.1,47.5,67.1,19.6
"Louisiana","East Carroll Parish",35.8,25.3,46.6,21.3
"Louisiana","East Feliciana Parish",42.4,30.4,54.8,24.4
"Louisiana","Evangeline Parish",47.2,38.6,56.1,17.5
"Louisiana","Franklin Parish",30.5,19.8,41.6,21.8
"Louisiana","Grant Parish",36.1,27.5,45,17.5
"Louisiana","Iberia Parish",53.3,46.8,60.1,13.3
"Louisiana","Iberville Parish",45.4,36.2,55,18.8
"Louisiana","Jackson Parish",36.3,26.1,46.9,20.8
"Louisiana","Jefferson Davis Parish",50.2,42.6,58,15.4
"Louisiana","Jefferson Parish",57,47.6,66.8,19.2
"Louisiana","La Salle Parish",36.2,27,45.8,18.8
"Louisiana","Lafayette Parish",59.5,51.1,68.2,17.1
"Louisiana","Lafourche Parish",53.3,44.9,62.1,17.2
"Louisiana","Lincoln Parish",44.5,37.2,52,14.8
"Louisiana","Livingston Parish",48.4,39.2,58,18.8
"Louisiana","Louisiana",51.7,43.4,60.3,16.9
"Louisiana","Madison Parish",42.4,30,55.2,25.2
"Louisiana","Morehouse Parish",35.6,25.9,45.7,19.8
"Louisiana","Natchitoches Parish",44.1,35.8,52.7,16.9
"Louisiana","Orleans Parish",61.2,54.2,68.4,14.2
"Louisiana","Ouachita Parish",44.1,36,52.5,16.5
"Louisiana","Plaquemines Parish",55.9,46.9,65.4,18.5
"Louisiana","Pointe Coupee Parish",56.6,47.6,65.9,18.3
"Louisiana","Rapides Parish",43.2,36,50.5,14.5
"Louisiana","Red River Parish",38.2,26.4,50.5,24.1
"Louisiana","Richland Parish",35.6,26.4,45,18.6
"Louisiana","Sabine Parish",36,26.5,45.7,19.2
"Louisiana","St. Bernard Parish",52.6,46.3,59.2,12.9
"Louisiana","St. Charles Parish",58,51.4,64.9,13.5
"Louisiana","St. Helena Parish",41.1,28.1,54.6,26.5
"Louisiana","St. James Parish",55.8,48.4,63.4,15
"Louisiana","St. John the Baptist Parish",52.8,43.5,62.5,19
"Louisiana","St. Landry Parish",54.2,45.5,63.2,17.7
"Louisiana","St. Martin Parish",53.1,44.6,62,17.4
"Louisiana","St. Mary Parish",51.1,41.1,61.4,20.3
"Louisiana","St. Tammany Parish",60.3,55.5,65.1,9.59999999999999
"Louisiana","Tangipahoa Parish",45.5,35.6,55.8,20.2
"Louisiana","Tensas Parish",36.1,24.2,48.4,24.2
"Louisiana","Terrebonne Parish",53.8,47.7,60.2,12.5
"Louisiana","Union Parish",31.7,21.9,41.9,20
"Louisiana","Vermilion Parish",55,49.2,61.1,11.9
"Louisiana","Vernon Parish",42,32.2,52.2,20
"Louisiana","Washington Parish",37.9,28.6,47.6,19
"Louisiana","Webster Parish",38.9,30.6,47.5,16.9
"Louisiana","West Baton Rouge Parish",53.3,41.2,65.8,24.6
"Louisiana","West Carroll Parish",30.3,21.3,39.7,18.4
"Louisiana","West Feliciana Parish",46,35.6,56.9,21.3
"Louisiana","Winn Parish",35.5,25.5,45.8,20.3
