"state","location","both_sexes_2012","females_2012","males_2012","diff_2012"
"Maine","Androscoggin County",60.4,54.9,66.1,11.2
"Maine","Aroostook County",55.7,46.8,64.9,18.1
"Maine","Cumberland County",69,64.7,73.4,8.7
"Maine","Franklin County",61.6,54.9,68.5,13.6
"Maine","Hancock County",64.8,58.6,71.3,12.7
"Maine","Kennebec County",61.7,55.7,68,12.3
"Maine","Knox County",63.9,59.6,68.4,8.8
"Maine","Lincoln County",65.2,60.2,70.3,10.1
"Maine","Maine",63.1,57.2,69.2,12
"Maine","Oxford County",60.4,55.6,65.4,9.8
"Maine","Penobscot County",58.1,51.2,65.2,14
"Maine","Piscataquis County",56.9,49.7,64.3,14.6
"Maine","Sagadahoc County",66.3,61.2,71.7,10.5
"Maine","Somerset County",55.9,48,64,16
"Maine","Waldo County",60.9,55.6,66.4,10.8
"Maine","Washington County",57.2,50,64.8,14.8
"Maine","York County",66,59.5,72.9,13.4
