"state","location","both_sexes_2012","females_2012","males_2012","diff_2012"
"Maryland","Allegany County",50.6,44.3,57.1,12.8
"Maryland","Anne Arundel County",62.7,57.2,68.5,11.3
"Maryland","Baltimore City",56.5,49.9,63.3,13.4
"Maryland","Baltimore County",60.6,55.4,66,10.6
"Maryland","Calvert County",61.8,55.2,68.7,13.5
"Maryland","Caroline County",48.5,40.5,56.8,16.3
"Maryland","Carroll County",62.3,57.8,66.9,9.10000000000001
"Maryland","Cecil County",53.7,45.8,62,16.2
"Maryland","Charles County",56.2,50.3,62.3,12
"Maryland","Dorchester County",47,40.7,53.4,12.7
"Maryland","Frederick County",60.8,55,66.7,11.7
"Maryland","Garrett County",46.5,38.3,55,16.7
"Maryland","Harford County",61.9,57.1,66.7,9.6
"Maryland","Howard County",68.2,61.3,75.3,14
"Maryland","Kent County",60.2,55.6,65,9.4
"Maryland","Maryland",59.7,53.2,66.4,13.2
"Maryland","Montgomery County",64.8,57.7,72.1,14.4
"Maryland","Prince George's County",53.1,45,61.6,16.6
"Maryland","Queen Anne's County",64.8,59.9,69.9,10
"Maryland","Somerset County",47.5,42.1,53.1,11
"Maryland","St. Mary's County",60.6,54,67.4,13.4
"Maryland","Talbot County",61,55.8,66.4,10.6
"Maryland","Washington County",51.5,42.6,60.7,18.1
"Maryland","Wicomico County",54.3,48.4,60.4,12
"Maryland","Worcester County",64,57.7,70.4,12.7
