"state","location","both_sexes_2012","females_2012","males_2012","diff_2012"
"Massachusetts","Barnstable County",72.2,69.1,75.3,6.2
"Massachusetts","Berkshire County",67.8,62.4,73.5,11.1
"Massachusetts","Bristol County",62.9,56.9,69,12.1
"Massachusetts","Dukes County",70.7,66.1,75.5,9.40000000000001
"Massachusetts","Essex County",64.2,59,69.7,10.7
"Massachusetts","Franklin County",67.1,62,72.4,10.4
"Massachusetts","Hampden County",59.6,53.3,66.2,12.9
"Massachusetts","Hampshire County",68.9,62.6,75.3,12.7
"Massachusetts","Massachusetts",65.2,60.1,70.6,10.5
"Massachusetts","Middlesex County",67,62.3,71.8,9.5
"Massachusetts","Nantucket County",72,68.5,75.6,7.09999999999999
"Massachusetts","Norfolk County",69.9,65.8,74.1,8.3
"Massachusetts","Plymouth County",65.3,60.2,70.5,10.3
"Massachusetts","Suffolk County",60,54.8,65.3,10.5
"Massachusetts","Worcester County",63.5,57.3,70,12.7
