"state","location","both_sexes_2012","females_2012","males_2012","diff_2012"
"Michigan","Alcona County",57.7,52.8,62.8,10
"Michigan","Alger County",60.3,56.2,64.6,8.39999999999999
"Michigan","Allegan County",59.6,52.2,67.3,15.1
"Michigan","Alpena County",61.6,58.3,65.2,6.90000000000001
"Michigan","Antrim County",60.9,55.8,66.2,10.4
"Michigan","Arenac County",58.3,53.7,63.1,9.4
"Michigan","Baraga County",50.9,47.8,54.1,6.3
"Michigan","Barry County",56.6,49.4,64.1,14.7
"Michigan","Bay County",64.8,59.1,70.6,11.5
"Michigan","Benzie County",58.3,52.7,64.1,11.4
"Michigan","Berrien County",54.3,46.4,62.5,16.1
"Michigan","Branch County",52.5,44.6,60.8,16.2
"Michigan","Calhoun County",55.3,48,63,15
"Michigan","Cass County",55.6,49,62.4,13.4
"Michigan","Charlevoix County",63.8,58.9,68.9,10
"Michigan","Cheboygan County",59.3,55.3,63.5,8.2
"Michigan","Chippewa County",58.2,52.3,64.4,12.1
"Michigan","Clare County",52.9,48.5,57.5,9
"Michigan","Clinton County",63.3,56.1,70.7,14.6
"Michigan","Crawford County",59.1,53.3,65.1,11.8
"Michigan","Delta County",65.1,61.1,69.3,8.2
"Michigan","Dickinson County",68.3,62.8,74.1,11.3
"Michigan","Eaton County",57,50.4,63.9,13.5
"Michigan","Emmet County",65.5,61.6,69.5,7.9
"Michigan","Genesee County",53.4,46.7,60.4,13.7
"Michigan","Gladwin County",55.6,48.9,62.5,13.6
"Michigan","Gogebic County",62.6,58,67.4,9.40000000000001
"Michigan","Grand Traverse County",65.3,59.4,71.4,12
"Michigan","Gratiot County",54.8,48.9,60.9,12
"Michigan","Hillsdale County",50.4,43.7,57.5,13.8
"Michigan","Houghton County",64.2,58.7,70,11.3
"Michigan","Huron County",58.4,52.8,64.3,11.5
"Michigan","Ingham County",59.5,50.1,69.2,19.1
"Michigan","Ionia County",55.9,49.4,62.7,13.3
"Michigan","Iosco County",57.6,51.9,63.4,11.5
"Michigan","Iron County",65,60.4,69.8,9.4
"Michigan","Isabella County",57.8,51.3,64.6,13.3
"Michigan","Jackson County",55.8,49.9,61.8,11.9
"Michigan","Kalamazoo County",61.9,54.7,69.3,14.6
"Michigan","Kalkaska County",55.6,49.7,61.7,12
"Michigan","Kent County",63.5,56.4,70.8,14.4
"Michigan","Keweenaw County",62.4,58.7,66.3,7.59999999999999
"Michigan","Lake County",49.2,43.2,55.4,12.2
"Michigan","Lapeer County",56.2,50,62.7,12.7
"Michigan","Leelanau County",67.2,62,72.6,10.6
"Michigan","Lenawee County",54.2,47.5,61.1,13.6
"Michigan","Livingston County",65.3,59.5,71.3,11.8
"Michigan","Luce County",55.9,51.7,60.3,8.59999999999999
"Michigan","Mackinac County",63.7,58.9,68.6,9.7
"Michigan","Macomb County",62.5,54.8,70.4,15.6
"Michigan","Manistee County",58.8,53.7,64.1,10.4
"Michigan","Marquette County",65.7,61.5,69.9,8.40000000000001
"Michigan","Mason County",58.2,52.4,64.3,11.9
"Michigan","Mecosta County",57,50.6,63.6,13
"Michigan","Menominee County",63.9,59.3,68.8,9.5
"Michigan","Michigan",59.4,52.8,66.3,13.5
"Michigan","Midland County",60.4,52.8,68.2,15.4
"Michigan","Missaukee County",53.4,47,60,13
"Michigan","Monroe County",60.9,54.1,68,13.9
"Michigan","Montcalm County",53.6,47,60.5,13.5
"Michigan","Montmorency County",53,47.8,58.3,10.5
"Michigan","Muskegon County",56.1,48.1,64.5,16.4
"Michigan","Newaygo County",53.1,45.3,61.3,16
"Michigan","Oakland County",63.7,57,70.6,13.6
"Michigan","Oceana County",54.6,46.8,62.8,16
"Michigan","Ogemaw County",55.5,49.9,61.4,11.5
"Michigan","Ontonagon County",63.6,59.4,67.9,8.50000000000001
"Michigan","Osceola County",51.7,45.4,58.3,12.9
"Michigan","Oscoda County",53.2,48.6,57.9,9.3
"Michigan","Otsego County",62.5,57.4,67.8,10.4
"Michigan","Ottawa County",62.5,55.4,69.8,14.4
"Michigan","Presque Isle County",61.8,57.5,66.2,8.7
"Michigan","Roscommon County",58.4,53.7,63.4,9.7
"Michigan","Saginaw County",59.2,52,66.7,14.7
"Michigan","Sanilac County",55.6,48.5,63.1,14.6
"Michigan","Schoolcraft County",61.8,56.3,67.6,11.3
"Michigan","Shiawassee County",57.1,50.7,63.8,13.1
"Michigan","St. Clair County",59.5,51.9,67.3,15.4
"Michigan","St. Joseph County",53.2,43.3,63.5,20.2
"Michigan","Tuscola County",53.5,46,61.2,15.2
"Michigan","Van Buren County",54.3,47,61.9,14.9
"Michigan","Washtenaw County",66.6,62.1,71.3,9.2
"Michigan","Wayne County",54.9,48.9,61.1,12.2
"Michigan","Wexford County",54,48,60.2,12.2
