"state","location","both_sexes_2012","females_2012","males_2012","diff_2012"
"Minnesota","Aitkin County",59.1,54.3,64,9.7
"Minnesota","Anoka County",66.3,60.7,72.2,11.5
"Minnesota","Becker County",61.8,53.5,70.4,16.9
"Minnesota","Beltrami County",57.5,53.5,61.7,8.2
"Minnesota","Benton County",64.7,59.7,69.9,10.2
"Minnesota","Big Stone County",60.4,51.5,69.7,18.2
"Minnesota","Blue Earth County",66.6,61.3,72,10.7
"Minnesota","Brown County",67.8,60.1,75.9,15.8
"Minnesota","Carlton County",62.6,58,67.5,9.5
"Minnesota","Carver County",71.8,67.9,75.9,8
"Minnesota","Cass County",57.4,50.6,64.4,13.8
"Minnesota","Chippewa County",64,55.8,72.5,16.7
"Minnesota","Chisago County",63,59.5,66.7,7.2
"Minnesota","Clay County",65.4,56.1,75.1,19
"Minnesota","Clearwater County",52.6,46.8,58.7,11.9
"Minnesota","Cook County",57.2,49.3,65.4,16.1
"Minnesota","Cottonwood County",60.6,53.3,68.1,14.8
"Minnesota","Crow Wing County",63.9,57.5,70.6,13.1
"Minnesota","Dakota County",69.3,64.4,74.3,9.89999999999999
"Minnesota","Dodge County",63.9,58,70.1,12.1
"Minnesota","Douglas County",67,59.7,74.5,14.8
"Minnesota","Faribault County",63.9,55.1,73,17.9
"Minnesota","Fillmore County",61.8,51.9,72.2,20.3
"Minnesota","Freeborn County",60.9,50.5,71.5,21
"Minnesota","Goodhue County",66.7,62.8,70.8,8
"Minnesota","Grant County",61.8,53.4,70.5,17.1
"Minnesota","Hennepin County",69.6,65.1,74.2,9.10000000000001
"Minnesota","Houston County",68,60.7,75.7,15
"Minnesota","Hubbard County",60.9,54.1,67.9,13.8
"Minnesota","Isanti County",62,53.2,71,17.8
"Minnesota","Itasca County",60.9,55.8,66.2,10.4
"Minnesota","Jackson County",61,52.8,69.6,16.8
"Minnesota","Kanabec County",55,47.2,62.9,15.7
"Minnesota","Kandiyohi County",61,53,69.4,16.4
"Minnesota","Kittson County",58.2,49.7,67,17.3
"Minnesota","Koochiching County",61.5,56,67.2,11.2
"Minnesota","Lac qui Parle County",62.3,53.7,71.2,17.5
"Minnesota","Lake County",62.1,54.4,70,15.6
"Minnesota","Lake of the Woods County",57.5,48.5,66.8,18.3
"Minnesota","Le Sueur County",63.8,56.8,71.1,14.3
"Minnesota","Lincoln County",61.6,53.4,70.1,16.7
"Minnesota","Lyon County",63,55.2,71.1,15.9
"Minnesota","Mahnomen County",52.5,42.6,62.9,20.3
"Minnesota","Marshall County",62.3,54.4,70.5,16.1
"Minnesota","Martin County",61.2,54.6,68.2,13.6
"Minnesota","McLeod County",63.3,59.3,67.5,8.2
"Minnesota","Meeker County",61.7,54.1,69.6,15.5
"Minnesota","Mille Lacs County",58.7,53.9,63.7,9.8
"Minnesota","Minnesota",66.6,61.3,72.1,10.8
"Minnesota","Morrison County",67.7,62.6,72.8,10.2
"Minnesota","Mower County",62.8,54.7,71.2,16.5
"Minnesota","Murray County",62.7,54.4,71.2,16.8
"Minnesota","Nicollet County",69.9,63.8,76.3,12.5
"Minnesota","Nobles County",57.2,50.1,64.6,14.5
"Minnesota","Norman County",60.6,51.5,69.9,18.4
"Minnesota","Olmsted County",65.6,60.7,70.8,10.1
"Minnesota","Otter Tail County",64.3,56.1,72.8,16.7
"Minnesota","Pennington County",61.3,52.6,70.2,17.6
"Minnesota","Pine County",56.6,50.6,62.9,12.3
"Minnesota","Pipestone County",57.1,49.3,65.3,16
"Minnesota","Polk County",63.1,57.1,69.4,12.3
"Minnesota","Pope County",66,57.6,74.8,17.2
"Minnesota","Ramsey County",67.2,63.3,71.2,7.90000000000001
"Minnesota","Red Lake County",63.2,55.5,71.1,15.6
"Minnesota","Redwood County",62.8,55.9,70,14.1
"Minnesota","Renville County",61.8,54.2,69.7,15.5
"Minnesota","Rice County",65.2,59.6,71.1,11.5
"Minnesota","Rock County",62,53.9,70.3,16.4
"Minnesota","Roseau County",61.9,54.5,69.6,15.1
"Minnesota","Scott County",69.8,64.8,74.9,10.1
"Minnesota","Sherburne County",65.6,60.5,70.8,10.3
"Minnesota","Sibley County",62.7,54.9,70.7,15.8
"Minnesota","St. Louis County",63,57.4,68.7,11.3
"Minnesota","Stearns County",68.3,64,72.8,8.8
"Minnesota","Steele County",65.7,56.7,75,18.3
"Minnesota","Stevens County",66.4,59,74.1,15.1
"Minnesota","Swift County",63.9,56.6,71.4,14.8
"Minnesota","Todd County",62.2,56.6,68,11.4
"Minnesota","Traverse County",62.5,54.5,70.8,16.3
"Minnesota","Wabasha County",69.2,63.7,74.9,11.2
"Minnesota","Wadena County",58.7,51.9,65.7,13.8
"Minnesota","Waseca County",63.2,54.6,72.2,17.6
"Minnesota","Washington County",72.1,66.5,78,11.5
"Minnesota","Watonwan County",56.5,46.4,66.9,20.5
"Minnesota","Wilkin County",69.2,61.9,76.8,14.9
"Minnesota","Winona County",69.5,63.8,75.4,11.6
"Minnesota","Wright County",65.5,61.1,70.1,8.99999999999999
"Minnesota","Yellow Medicine County",60.4,50.9,70.2,19.3
