"state","location","both_sexes_2012","females_2012","males_2012","diff_2012"
"Mississippi","Adams County",48.1,42,54.5,12.5
"Mississippi","Alcorn County",31.9,22.4,41.8,19.4
"Mississippi","Amite County",33.7,22,45.8,23.8
"Mississippi","Attala County",35.5,26.6,44.7,18.1
"Mississippi","Benton County",27.9,19.5,36.7,17.2
"Mississippi","Bolivar County",45.8,39.6,52.2,12.6
"Mississippi","Calhoun County",29,20.8,37.4,16.6
"Mississippi","Carroll County",38.5,30.6,46.5,15.9
"Mississippi","Chickasaw County",30.7,21.3,40.5,19.2
"Mississippi","Choctaw County",33.1,24.8,41.7,16.9
"Mississippi","Claiborne County",46,36.6,55.8,19.2
"Mississippi","Clarke County",32.3,22.5,42.5,20
"Mississippi","Clay County",39.2,29.3,49.5,20.2
"Mississippi","Coahoma County",46.5,39.9,53.3,13.4
"Mississippi","Copiah County",36.5,26.6,46.8,20.2
"Mississippi","Covington County",34.2,25.5,43.3,17.8
"Mississippi","DeSoto County",50.1,43.7,56.8,13.1
"Mississippi","Forrest County",45.2,37,53.8,16.8
"Mississippi","Franklin County",34.7,24.9,44.9,20
"Mississippi","George County",32.2,21.8,42.9,21.1
"Mississippi","Greene County",31.9,22.3,41.9,19.6
"Mississippi","Grenada County",40.4,33.5,47.6,14.1
"Mississippi","Hancock County",53,46.9,59.4,12.5
"Mississippi","Harrison County",55.6,49.2,62.3,13.1
"Mississippi","Hinds County",50.7,43.9,57.8,13.9
"Mississippi","Holmes County",36.8,26.1,47.9,21.8
"Mississippi","Humphreys County",38.4,30,47.1,17.1
"Mississippi","Issaquena County",34,23.9,44.5,20.6
"Mississippi","Itawamba County",34,23.9,44.4,20.5
"Mississippi","Jackson County",49.9,42.9,57.1,14.2
"Mississippi","Jasper County",35,24.7,45.6,20.9
"Mississippi","Jefferson County",41,30.9,51.4,20.5
"Mississippi","Jefferson Davis County",35.8,26.5,45.5,19
"Mississippi","Jones County",34.7,24.8,44.8,20
"Mississippi","Kemper County",39.3,26.8,52.3,25.5
"Mississippi","Lafayette County",52.1,46.2,58.2,12
"Mississippi","Lamar County",44.9,38.3,51.6,13.3
"Mississippi","Lauderdale County",41.6,32.8,50.7,17.9
"Mississippi","Lawrence County",33.2,22.8,44,21.2
"Mississippi","Leake County",32.9,23.9,42.2,18.3
"Mississippi","Lee County",41.5,31.6,51.8,20.2
"Mississippi","Leflore County",41.2,32.6,50,17.4
"Mississippi","Lincoln County",35,27.2,43.2,16
"Mississippi","Lowndes County",41.6,32.8,50.7,17.9
"Mississippi","Madison County",55.8,50.5,61.3,10.8
"Mississippi","Marion County",35.6,26.2,45.3,19.1
"Mississippi","Marshall County",38.5,28.6,48.8,20.2
"Mississippi","Mississippi",43.1,35.3,51.2,15.9
"Mississippi","Monroe County",37.1,27.1,47.5,20.4
"Mississippi","Montgomery County",37.7,29.6,46.1,16.5
"Mississippi","Neshoba County",35.9,27.9,44.2,16.3
"Mississippi","Newton County",33.4,24.6,42.6,18
"Mississippi","Noxubee County",38,27.5,48.8,21.3
"Mississippi","Oktibbeha County",47.2,40.1,54.6,14.5
"Mississippi","Panola County",40,29,51.4,22.4
"Mississippi","Pearl River County",39.1,31.7,46.7,15
"Mississippi","Perry County",31.5,22.2,41.2,19
"Mississippi","Pike County",38.5,28.6,48.8,20.2
"Mississippi","Pontotoc County",32.3,23.3,41.7,18.4
"Mississippi","Prentiss County",29.5,19.9,39.5,19.6
"Mississippi","Quitman County",37.7,26,49.8,23.8
"Mississippi","Rankin County",46.6,41.8,51.7,9.90000000000001
"Mississippi","Scott County",34.5,24.2,45.1,20.9
"Mississippi","Sharkey County",36.8,26.8,47.2,20.4
"Mississippi","Simpson County",30,21.8,38.5,16.7
"Mississippi","Smith County",31.9,22.5,41.6,19.1
"Mississippi","Stone County",37.9,28,48.1,20.1
"Mississippi","Sunflower County",40.2,33.4,47.1,13.7
"Mississippi","Tallahatchie County",35.5,26.2,45.1,18.9
"Mississippi","Tate County",38.5,28.5,48.8,20.3
"Mississippi","Tippah County",29.9,21,39.1,18.1
"Mississippi","Tishomingo County",31.5,22.4,41,18.6
"Mississippi","Tunica County",41.1,31.1,51.5,20.4
"Mississippi","Union County",33.5,24.4,43,18.6
"Mississippi","Walthall County",32.1,23.8,40.7,16.9
"Mississippi","Warren County",47.1,38.9,55.6,16.7
"Mississippi","Washington County",45.3,38.5,52.4,13.9
"Mississippi","Wayne County",31.1,21.5,41,19.5
"Mississippi","Webster County",33.6,25.8,41.8,16
"Mississippi","Wilkinson County",39.4,30,49.1,19.1
"Mississippi","Winston County",32.9,23.7,42.4,18.7
"Mississippi","Yalobusha County",32.9,24.8,41.3,16.5
"Mississippi","Yazoo County",40.1,31.4,49,17.6
