"state","location","both_sexes_2012","females_2012","males_2012","diff_2012"
"Missouri","Adair County",48.1,38.7,57.8,19.1
"Missouri","Andrew County",55.7,46.8,64.9,18.1
"Missouri","Atchison County",54.7,44.5,65.3,20.8
"Missouri","Audrain County",48.3,40.4,56.6,16.2
"Missouri","Barry County",41.5,31.6,51.7,20.1
"Missouri","Barton County",42.5,33.6,51.8,18.2
"Missouri","Bates County",43.1,34.1,52.6,18.5
"Missouri","Benton County",45.3,35,55.9,20.9
"Missouri","Bollinger County",42.2,32,52.7,20.7
"Missouri","Boone County",58.8,51.5,66.2,14.7
"Missouri","Buchanan County",52.2,42.3,62.4,20.1
"Missouri","Butler County",43.4,35.1,52.1,17
"Missouri","Caldwell County",46.6,36.3,57.4,21.1
"Missouri","Callaway County",52.7,45.5,60.2,14.7
"Missouri","Camden County",47.9,40.4,55.5,15.1
"Missouri","Cape Girardeau County",52.5,44.2,61.1,16.9
"Missouri","Carroll County",47.7,39,56.8,17.8
"Missouri","Carter County",38.2,29.3,47.4,18.1
"Missouri","Cass County",53.7,45.6,62.1,16.5
"Missouri","Cedar County",41.3,34,48.8,14.8
"Missouri","Chariton County",52.4,43.1,62,18.9
"Missouri","Christian County",50.1,41.1,59.3,18.2
"Missouri","Clark County",47.3,36.8,58.1,21.3
"Missouri","Clay County",57.2,48.8,65.9,17.1
"Missouri","Clinton County",49.4,40.3,58.8,18.5
"Missouri","Cole County",58.1,50,66.5,16.5
"Missouri","Cooper County",51.9,43.7,60.4,16.7
"Missouri","Crawford County",43.9,36.1,52,15.9
"Missouri","Dade County",33.5,28.4,38.7,10.3
"Missouri","Dallas County",41.3,32.7,50.2,17.5
"Missouri","Daviess County",42.9,35.6,50.5,14.9
"Missouri","DeKalb County",46.9,37.8,56.3,18.5
"Missouri","Dent County",41.9,34.3,49.7,15.4
"Missouri","Douglas County",36.6,29.4,44,14.6
"Missouri","Dunklin County",37,28,46.3,18.3
"Missouri","Franklin County",52.9,46,60.1,14.1
"Missouri","Gasconade County",48.5,39.5,57.9,18.4
"Missouri","Gentry County",46.8,38.5,55.5,17
"Missouri","Greene County",50.9,43.2,58.8,15.6
"Missouri","Grundy County",47.4,39.9,55.2,15.3
"Missouri","Harrison County",48.2,38.7,58.1,19.4
"Missouri","Henry County",47.5,40,55.2,15.2
"Missouri","Hickory County",37,28.5,45.9,17.4
"Missouri","Holt County",52.6,42.1,63.5,21.4
"Missouri","Howard County",50.1,41.3,59.3,18
"Missouri","Howell County",40.9,33.9,48.2,14.3
"Missouri","Iron County",41.7,33.3,50.4,17.1
"Missouri","Jackson County",54.9,47.6,62.4,14.8
"Missouri","Jasper County",45.1,38.3,52.2,13.9
"Missouri","Jefferson County",53,43.6,62.8,19.2
"Missouri","Johnson County",53.4,43.5,63.7,20.2
"Missouri","Knox County",47.6,37.2,58.4,21.2
"Missouri","Laclede County",41.6,35.2,48.1,12.9
"Missouri","Lafayette County",48.8,40.9,57.1,16.2
"Missouri","Lawrence County",42.5,32.9,52.5,19.6
"Missouri","Lewis County",47.6,37.1,58.5,21.4
"Missouri","Lincoln County",49.6,43.1,56.4,13.3
"Missouri","Linn County",49.6,40.3,59.3,19
