"state","location","both_sexes_2012","females_2012","males_2012","diff_2012"
"Montana","Beaverhead County",61,56.5,65.5,9
"Montana","Big Horn County",46.1,36.8,55.6,18.8
"Montana","Blaine County",55.5,46.5,64.9,18.4
"Montana","Broadwater County",61,55.3,67,11.7
"Montana","Carbon County",66.9,61.5,72.6,11.1
"Montana","Carter County",53.2,47.5,59,11.5
"Montana","Cascade County",60.5,55.4,65.8,10.4
"Montana","Chouteau County",60.5,53.2,68.1,14.9
"Montana","Custer County",58.9,54.4,63.5,9.1
"Montana","Daniels County",43.9,36.9,51.3,14.4
"Montana","Dawson County",56.8,52,61.8,9.8
"Montana","Deer Lodge County",62.8,59.6,66.1,6.49999999999999
"Montana","Fallon County",61.9,55.4,68.6,13.2
"Montana","Fergus County",61.5,55.8,67.5,11.7
"Montana","Flathead County",64,59.5,68.7,9.2
"Montana","Gallatin County",67.9,62.9,73.2,10.3
"Montana","Garfield County",59.3,54.1,64.8,10.7
"Montana","Glacier County",52.1,45.7,58.7,13
"Montana","Golden Valley County",63.4,57.3,69.7,12.4
"Montana","Granite County",64.1,57.4,71,13.6
"Montana","Hill County",58.2,51.2,65.5,14.3
"Montana","Jefferson County",68.1,62.2,74.2,12
"Montana","Judith Basin County",67.7,63.1,72.4,9.3
"Montana","Lake County",59.2,54,64.7,10.7
"Montana","Lewis and Clark County",65.1,59.2,71.2,12
"Montana","Liberty County",56.1,51.4,61,9.6
"Montana","Lincoln County",63.1,60,66.2,6.2
"Montana","Madison County",68.7,63.9,73.6,9.7
"Montana","McCone County",61.5,56.3,66.7,10.4
"Montana","Meagher County",63.9,57.6,70.4,12.8
"Montana","Mineral County",63.4,58.5,68.5,10
"Montana","Missoula County",65.8,62.2,69.6,7.39999999999999
"Montana","Montana",62.4,57.4,67.7,10.3
"Montana","Musselshell County",57.9,51.8,64.2,12.4
"Montana","Park County",68.7,62,75.7,13.7
"Montana","Petroleum County",65.8,60.7,71.2,10.5
"Montana","Phillips County",65.4,57.7,73.4,15.7
"Montana","Pondera County",53.2,47.8,58.9,11.1
"Montana","Powder River County",64.2,58.8,69.8,11
"Montana","Powell County",61.5,57.7,65.4,7.7
"Montana","Prairie County",62.2,57,67.5,10.5
"Montana","Ravalli County",61,56.2,65.9,9.7
"Montana","Richland County",59.9,54.4,65.6,11.2
"Montana","Roosevelt County",48.1,40.2,56.3,16.1
"Montana","Rosebud County",50.9,42.6,59.6,17
"Montana","Sanders County",60.9,55.3,66.8,11.5
"Montana","Sheridan County",53.1,47.2,59.1,11.9
"Montana","Silver Bow County",61.4,60.3,62.6,2.3
"Montana","Stillwater County",64.3,57.8,71.1,13.3
"Montana","Sweet Grass County",62.5,56.2,69,12.8
"Montana","Teton County",58.2,52.2,64.4,12.2
"Montana","Toole County",66.8,61.3,72.6,11.3
"Montana","Treasure County",61.6,57.1,66.3,9.2
"Montana","Valley County",61.2,56.3,66.3,10
"Montana","Wheatland County",57.9,52.5,63.5,11
"Montana","Wibaux County",57.2,51.3,63.3,12
"Montana","Yellowstone County",61.5,55.8,67.4,11.6
