"state","location","both_sexes_2012","females_2012","males_2012","diff_2012"
"Nebraska","Adams County",61.4,53.7,69.4,15.7
"Nebraska","Antelope County",60,50.2,70.3,20.1
"Nebraska","Arthur County",54.8,44.5,65.5,21
"Nebraska","Banner County",53.2,42.8,64.1,21.3
"Nebraska","Blaine County",51.3,42.3,60.6,18.3
"Nebraska","Boone County",63.1,52,74.5,22.5
"Nebraska","Box Butte County",58.6,51.5,66,14.5
"Nebraska","Boyd County",58.6,48.5,69,20.5
"Nebraska","Brown County",57.8,48.5,67.4,18.9
"Nebraska","Buffalo County",63.8,55.4,72.6,17.2
"Nebraska","Burt County",62.1,53.7,70.7,17
"Nebraska","Butler County",69.5,62.7,76.5,13.8
"Nebraska","Cass County",63.1,56.7,69.7,13
"Nebraska","Cedar County",63,53,73.3,20.3
"Nebraska","Chase County",53.5,44,63.4,19.4
"Nebraska","Cherry County",59.3,52.3,66.5,14.2
"Nebraska","Cheyenne County",61,54,68.2,14.2
"Nebraska","Clay County",55.9,45.1,67.1,22
"Nebraska","Colfax County",59.9,51.2,68.8,17.6
"Nebraska","Cuming County",64.7,57,72.7,15.7
"Nebraska","Custer County",58.9,49.8,68.4,18.6
"Nebraska","Dakota County",54.3,44.2,64.9,20.7
"Nebraska","Dawes County",58.3,52,64.8,12.8
"Nebraska","Dawson County",52.5,42.1,63.3,21.2
"Nebraska","Deuel County",52.7,41.2,64.6,23.4
"Nebraska","Dixon County",58.3,48.9,68.1,19.2
"Nebraska","Dodge County",63.8,58.6,69.1,10.5
"Nebraska","Douglas County",65.2,58.1,72.5,14.4
"Nebraska","Dundy County",56.2,44.2,68.8,24.6
"Nebraska","Fillmore County",63.9,54.8,73.3,18.5
"Nebraska","Franklin County",58.1,47.4,69.3,21.9
"Nebraska","Frontier County",54.6,43.8,65.8,22
"Nebraska","Furnas County",56.6,45.7,67.8,22.1
"Nebraska","Gage County",62.1,55.4,68.9,13.5
"Nebraska","Garden County",53.9,43.9,64.2,20.3
"Nebraska","Garfield County",62.6,53.5,72,18.5
"Nebraska","Gosper County",52.9,43.1,63.1,20
"Nebraska","Grant County",51.9,45.9,58.1,12.2
"Nebraska","Greeley County",65.2,56,74.8,18.8
"Nebraska","Hall County",58.4,51.1,66,14.9
"Nebraska","Hamilton County",62.3,54.8,70,15.2
"Nebraska","Harlan County",57.2,47.7,67,19.3
"Nebraska","Hayes County",58.1,48.4,68.2,19.8
"Nebraska","Hitchcock County",51.7,41.3,62.5,21.2
"Nebraska","Holt County",62.3,54.9,70,15.1
"Nebraska","Hooker County",57.1,46.9,67.7,20.8
"Nebraska","Howard County",60.5,51.3,70.1,18.8
"Nebraska","Jefferson County",61.3,52.5,70.5,18
"Nebraska","Johnson County",54.6,44.9,64.6,19.7
"Nebraska","Kearney County",61.3,52.6,70.3,17.7
"Nebraska","Keith County",61.3,53.1,69.7,16.6
"Nebraska","Keya Paha County",51.8,42.8,61.2,18.4
"Nebraska","Kimball County",53.7,43.5,64.2,20.7
"Nebraska","Knox County",63.4,54.2,72.9,18.7
"Nebraska","Lancaster County",66,60,72.1,12.1
"Nebraska","Lincoln County",57.3,49,65.9,16.9
"Nebraska","Logan County",61,51.1,71.3,20.2
"Nebraska","Loup County",53.6,44.1,63.4,19.3
"Nebraska","Madison County",64.4,55.3,73.8,18.5
"Nebraska","McPherson County",53.9,41.9,66.4,24.5
"Nebraska","Merrick County",62.2,54.5,70.2,15.7
"Nebraska","Morrill County",51.4,40.9,62.2,21.3
"Nebraska","Nance County",68.8,60.6,77.2,16.6
"Nebraska","Nebraska",63.2,55.8,70.8,15
"Nebraska","Nemaha County",61.9,53.3,70.8,17.5
"Nebraska","Nuckolls County",60,50.3,70,19.7
"Nebraska","Otoe County",60.7,51.5,70.3,18.8
"Nebraska","Pawnee County",63.6,54.6,72.9,18.3
"Nebraska","Perkins County",56.2,45.9,66.8,20.9
"Nebraska","Phelps County",59.2,50.5,68.2,17.7
"Nebraska","Pierce County",61.6,52.3,71.1,18.8
"Nebraska","Platte County",68.6,61,76.5,15.5
"Nebraska","Polk County",62.3,52.9,72.2,19.3
"Nebraska","Red Willow County",60,52.4,67.9,15.5
"Nebraska","Richardson County",56.7,47.4,66.4,19
"Nebraska","Rock County",56.5,45.5,67.9,22.4
"Nebraska","Saline County",59.8,49.5,70.6,21.1
"Nebraska","Sarpy County",65.7,59.4,72.3,12.9
"Nebraska","Saunders County",67,60.1,74.1,14
"Nebraska","Scotts Bluff County",53.2,44.9,61.8,16.9
"Nebraska","Seward County",64.3,56.7,72.3,15.6
"Nebraska","Sheridan County",55.8,47.4,64.6,17.2
"Nebraska","Sherman County",57.8,46.4,69.7,23.3
"Nebraska","Sioux County",59.6,51.2,68.3,17.1
"Nebraska","Stanton County",61.9,52.6,71.6,19
"Nebraska","Thayer County",56.4,46.1,67.2,21.1
"Nebraska","Thomas County",53.8,42.5,65.5,23
"Nebraska","Thurston County",36.8,29.3,44.5,15.2
"Nebraska","Valley County",61.8,52.1,71.9,19.8
"Nebraska","Washington County",68.8,64.1,73.7,9.60000000000001
"Nebraska","Wayne County",64.4,56.1,73,16.9
"Nebraska","Webster County",55.5,45.8,65.7,19.9
"Nebraska","Wheeler County",59.3,50.1,68.8,18.7
"Nebraska","York County",59.9,50.1,70,19.9
