"state","location","both_sexes_2012","females_2012","males_2012","diff_2012"
"Nevada","Carson City",63.2,56.5,70.1,13.6
"Nevada","Churchill County",55.1,46.9,63.6,16.7
"Nevada","Clark County",54.4,47.9,61.1,13.2
"Nevada","Douglas County",68.1,60.7,75.9,15.2
"Nevada","Elko County",53,43.9,62.4,18.5
"Nevada","Esmeralda County",65.8,58.3,73.6,15.3
"Nevada","Eureka County",57.8,51.4,64.5,13.1
"Nevada","Humboldt County",57.7,51.6,64,12.4
"Nevada","Lander County",49.8,42.3,57.6,15.3
"Nevada","Lincoln County",39.5,32.5,46.8,14.3
"Nevada","Lyon County",61.1,52.8,69.6,16.8
"Nevada","Mineral County",55.1,46,64.6,18.6
"Nevada","Nevada",56.3,50.1,62.8,12.7
"Nevada","Nye County",56.7,50.6,63,12.4
"Nevada","Pershing County",55.7,47.6,64,16.4
"Nevada","Storey County",70.6,64.6,76.8,12.2
"Nevada","Washoe County",63.1,58.7,67.7,9
"Nevada","White Pine County",46.7,42.1,51.6,9.5
