"state","location","both_sexes_2012","females_2012","males_2012","diff_2012"
"New Jersey","Atlantic County",57.8,51.7,64.2,12.5
"New Jersey","Bergen County",66.8,60.2,73.6,13.4
"New Jersey","Burlington County",62.4,56.5,68.4,11.9
"New Jersey","Camden County",59.3,53.1,65.7,12.6
"New Jersey","Cape May County",64.4,59.6,69.3,9.7
"New Jersey","Cumberland County",48.6,41.3,56.2,14.9
"New Jersey","Essex County",58.2,51.4,65.2,13.8
"New Jersey","Gloucester County",61.3,56.7,65.9,9.2
"New Jersey","Hudson County",55.4,46.8,64.4,17.6
"New Jersey","Hunterdon County",70.9,67,74.9,7.90000000000001
"New Jersey","Mercer County",61.3,56.3,66.4,10.1
"New Jersey","Middlesex County",59,52.9,65.3,12.4
"New Jersey","Monmouth County",68.4,63.2,73.9,10.7
"New Jersey","Morris County",68.4,64.2,72.8,8.59999999999999
"New Jersey","New Jersey",61.8,55.6,68.2,12.6
"New Jersey","Ocean County",64.8,60,69.8,9.8
"New Jersey","Passaic County",57.1,49.6,64.8,15.2
"New Jersey","Salem County",55.7,47.3,64.5,17.2
"New Jersey","Somerset County",65.2,58.9,71.8,12.9
"New Jersey","Sussex County",67.3,62.7,71.9,9.2
"New Jersey","Union County",59,51.3,66.9,15.6
"New Jersey","Warren County",62.3,55.6,69.3,13.7
