"state","location","both_sexes_2012","females_2012","males_2012","diff_2012"
"New Mexico","Bernalillo County",53.7,47.2,60.4,13.2
"New Mexico","Catron County",46.3,39,53.8,14.8
"New Mexico","Chaves County",43.7,36.4,51.3,14.9
"New Mexico","Cibola County",38.4,30,47,17
"New Mexico","Colfax County",49.3,41.3,57.6,16.3
"New Mexico","Curry County",41,32.9,49.4,16.5
"New Mexico","De Baca County",33.3,26.1,40.9,14.8
"New Mexico","Dona Ana County",48,42.1,54,11.9
"New Mexico","Eddy County",41.4,36.1,46.8,10.7
"New Mexico","Grant County",51.2,41.8,60.9,19.1
"New Mexico","Guadalupe County",44,34.5,53.9,19.4
"New Mexico","Harding County",44.3,36.2,52.7,16.5
"New Mexico","Hidalgo County",43.8,33.2,54.7,21.5
"New Mexico","Lea County",38.8,30.6,47.2,16.6
"New Mexico","Lincoln County",51.2,44.9,57.7,12.8
"New Mexico","Los Alamos County",61.4,56.4,66.5,10.1
"New Mexico","Luna County",44.8,33.3,56.7,23.4
"New Mexico","McKinley County",31.6,22.3,41.1,18.8
"New Mexico","Mora County",48.1,39.3,57.2,17.9
"New Mexico","New Mexico",48.9,42,56.1,14.1
"New Mexico","Otero County",44,37.6,50.5,12.9
"New Mexico","Quay County",32.4,26.3,38.7,12.4
"New Mexico","Rio Arriba County",46,36.6,55.7,19.1
"New Mexico","Roosevelt County",36.6,29.4,44,14.6
"New Mexico","San Juan County",38.8,29.9,47.9,18
"New Mexico","San Miguel County",43.6,37.2,50.3,13.1
"New Mexico","Sandoval County",55.7,48.2,63.5,15.3
"New Mexico","Santa Fe County",59,53.5,64.7,11.2
"New Mexico","Sierra County",48.6,42.4,55,12.6
"New Mexico","Socorro County",43.2,35.3,51.4,16.1
"New Mexico","Taos County",53.1,45.9,60.7,14.8
"New Mexico","Torrance County",43.3,35.8,51.1,15.3
"New Mexico","Union County",51.7,42.7,61,18.3
"New Mexico","Valencia County",44.6,37.6,51.9,14.3
