"state","location","both_sexes_2012","females_2012","males_2012","diff_2012"
"New York","Albany County",65,59.9,70.3,10.4
"New York","Allegany County",56.4,50.1,63,12.9
"New York","Bronx County",44.9,35.9,54.2,18.3
"New York","Broome County",61.5,55.5,67.7,12.2
"New York","Cattaraugus County",58.6,53.2,64.2,11
"New York","Cayuga County",60.7,55.2,66.5,11.3
"New York","Chautauqua County",57.5,50.9,64.3,13.4
"New York","Chemung County",58.9,53.3,64.7,11.4
"New York","Chenango County",59.9,54,66,12
"New York","Clinton County",62.8,57.6,68.1,10.5
"New York","Columbia County",63.9,56.8,71.3,14.5
"New York","Cortland County",61.9,56.8,67.1,10.3
"New York","Delaware County",59.8,53.1,66.9,13.8
"New York","Dutchess County",65.2,60.4,70.2,9.8
"New York","Erie County",65.1,60.3,70,9.7
"New York","Essex County",64.2,59.5,69.2,9.7
"New York","Franklin County",60.5,56.1,65,8.9
"New York","Fulton County",61,55.3,66.9,11.6
"New York","Genesee County",61.8,57.2,66.6,9.39999999999999
"New York","Greene County",59.9,53.8,66.2,12.4
"New York","Hamilton County",59.6,54,65.4,11.4
"New York","Herkimer County",62.3,56.5,68.3,11.8
"New York","Jefferson County",59.9,54.4,65.5,11.1
"New York","Kings County",52.5,45,60.3,15.3
"New York","Lewis County",54.8,48.5,61.3,12.8
"New York","Livingston County",63,58.5,67.6,9.09999999999999
"New York","Madison County",62.3,56.1,68.7,12.6
"New York","Monroe County",63.8,59.4,68.4,9.00000000000001
"New York","Montgomery County",58.6,51.6,65.8,14.2
"New York","Nassau County",66.2,60.3,72.2,11.9
"New York","New York",60,53.6,66.5,12.9
"New York","New York County",64.6,58.2,71.3,13.1
"New York","Niagara County",61.2,56.7,65.7,9
"New York","Oneida County",60.1,53.7,66.7,13
"New York","Onondaga County",63.3,57.8,68.9,11.1
"New York","Ontario County",63.7,58.6,69.1,10.5
"New York","Orange County",62.3,56.4,68.4,12
"New York","Orleans County",56.6,49.8,63.7,13.9
"New York","Oswego County",58.6,51.5,65.9,14.4
"New York","Otsego County",62.1,55.6,68.8,13.2
"New York","Putnam County",69,63.9,74.2,10.3
"New York","Queens County",53.8,47.5,60.3,12.8
"New York","Rensselaer County",64.7,58.5,71.2,12.7
"New York","Richmond County",62.1,55.7,68.8,13.1
"New York","Rockland County",62.9,55.5,70.5,15
"New York","Saratoga County",67.1,62.1,72.3,10.2
"New York","Schenectady County",63.2,57.9,68.7,10.8
"New York","Schoharie County",60.7,52.8,68.9,16.1
"New York","Schuyler County",59.3,52.7,66.2,13.5
"New York","Seneca County",60.6,55.9,65.5,9.6
"New York","St. Lawrence County",60.4,54.5,66.6,12.1
"New York","Steuben County",57.6,51.1,64.3,13.2
"New York","Suffolk County",65.3,59.5,71.4,11.9
"New York","Sullivan County",59.8,53.1,66.7,13.6
"New York","Tioga County",60.6,53.6,68,14.4
"New York","Tompkins County",66.2,60.7,71.9,11.2
"New York","Ulster County",63.9,58.2,69.8,11.6
"New York","Warren County",65.8,59.7,72.2,12.5
"New York","Washington County",60.2,54.1,66.5,12.4
"New York","Wayne County",60.3,54,66.8,12.8
"New York","Westchester County",64.8,59,70.8,11.8
"New York","Wyoming County",60.6,56.3,65,8.7
"New York","Yates County",63.2,55.1,71.7,16.6
