"state","location","both_sexes_2012","females_2012","males_2012","diff_2012"
"North Carolina","Alamance County",49.2,40,58.8,18.8
"North Carolina","Alexander County",36.2,28.2,44.6,16.4
"North Carolina","Alleghany County",34.5,26.4,43,16.6
"North Carolina","Anson County",33.2,25,41.8,16.8
"North Carolina","Ashe County",36.6,28.8,44.7,15.9
"North Carolina","Avery County",38.7,32.2,45.5,13.3
"North Carolina","Beaufort County",42.9,32.3,53.8,21.5
"North Carolina","Bertie County",33.9,24.9,43.3,18.4
"North Carolina","Bladen County",31.8,22.1,41.9,19.8
"North Carolina","Brunswick County",55.5,46.2,65.1,18.9
"North Carolina","Buncombe County",52.6,46.1,59.3,13.2
"North Carolina","Burke County",38.8,30.5,47.4,16.9
"North Carolina","Cabarrus County",48.6,41.5,56,14.5
"North Carolina","Caldwell County",36.6,28.9,44.5,15.6
"North Carolina","Camden County",51.8,43.6,60.3,16.7
"North Carolina","Carteret County",55.5,49,62.2,13.2
"North Carolina","Caswell County",41.6,32.4,51.1,18.7
"North Carolina","Catawba County",45.6,37.8,53.6,15.8
"North Carolina","Chatham County",52.4,45.4,59.7,14.3
"North Carolina","Cherokee County",44.2,39,49.6,10.6
"North Carolina","Chowan County",42.5,34.1,51.3,17.2
"North Carolina","Clay County",40.6,34,47.4,13.4
"North Carolina","Cleveland County",37.8,30.5,45.4,14.9
"North Carolina","Columbus County",34,26.1,42.2,16.1
"North Carolina","Craven County",49.5,42.2,56.9,14.7
"North Carolina","Cumberland County",41.9,33.3,50.9,17.6
"North Carolina","Currituck County",51.2,43.2,59.6,16.4
"North Carolina","Dare County",58.6,51.5,66,14.5
"North Carolina","Davidson County",41.6,32.7,50.7,18
"North Carolina","Davie County",46.2,38.2,54.5,16.3
"North Carolina","Duplin County",35.6,26.3,45.2,18.9
"North Carolina","Durham County",54.8,47.4,62.5,15.1
"North Carolina","Edgecombe County",34.8,26.4,43.6,17.2
"North Carolina","Forsyth County",50.2,43.3,57.3,14
"North Carolina","Franklin County",40,28.8,51.5,22.7
"North Carolina","Gaston County",43.7,37.6,50.1,12.5
"North Carolina","Gates County",41,31.9,50.3,18.4
"North Carolina","Graham County",39,32.1,46.1,14
"North Carolina","Granville County",40.5,31.8,49.5,17.7
"North Carolina","Greene County",36.5,26.6,46.8,20.2
"North Carolina","Guilford County",51.9,44.2,59.9,15.7
"North Carolina","Halifax County",36.9,26.7,47.6,20.9
"North Carolina","Harnett County",42,32.9,51.4,18.5
"North Carolina","Haywood County",48,39.2,57.1,17.9
"North Carolina","Henderson County",50.6,41.5,60,18.5
"North Carolina","Hertford County",36.9,29.7,44.3,14.6
"North Carolina","Hoke County",40.5,33.7,47.5,13.8
"North Carolina","Hyde County",45.7,36.3,55.5,19.2
"North Carolina","Iredell County",48.7,43,54.7,11.7
"North Carolina","Jackson County",46.5,38,55.3,17.3
"North Carolina","Johnston County",43.1,33.7,53,19.3
"North Carolina","Jones County",45.3,35.9,55.1,19.2
"North Carolina","Lee County",42.7,32.7,53,20.3
"North Carolina","Lenoir County",39.2,30.3,48.5,18.2
"North Carolina","Lincoln County",45.4,39,52,13
"North Carolina","Macon County",46.8,41.9,51.9,10
"North Carolina","Madison County",37,30,44.3,14.3
"North Carolina","Martin County",36.7,27,46.7,19.7
"North Carolina","McDowell County",37.7,30.3,45.4,15.1
"North Carolina","Mecklenburg County",57.1,50.4,64,13.6
"North Carolina","Mitchell County",36.2,28.9,43.8,14.9
"North Carolina","Montgomery County",36.4,28,45.1,17.1
"North Carolina","Moore County",51.3,44.9,57.9,13
"North Carolina","Nash County",43.3,33.1,53.8,20.7
"North Carolina","New Hanover County",60.2,53.3,67.4,14.1
"North Carolina","North Carolina",48.1,40.4,56,15.6
"North Carolina","Northampton County",38.8,29.9,47.9,18
"North Carolina","Onslow County",49.3,41.2,57.6,16.4
"North Carolina","Orange County",63,56.5,69.7,13.2
"North Carolina","Pamlico County",45.9,36,56.1,20.1
"North Carolina","Pasquotank County",44,36.3,52,15.7
"North Carolina","Pender County",46.6,37.3,56.2,18.9
"North Carolina","Perquimans County",44.9,35.2,55.1,19.9
"North Carolina","Person County",45.4,37.7,53.5,15.8
"North Carolina","Pitt County",47.9,39,57.2,18.2
"North Carolina","Polk County",46,38.5,53.8,15.3
"North Carolina","Randolph County",40.1,30,50.5,20.5
"North Carolina","Richmond County",36,28.3,44,15.7
"North Carolina","Robeson County",30.3,22.1,38.8,16.7
"North Carolina","Rockingham County",39.4,28.8,50.5,21.7
"North Carolina","Rowan County",41.7,32.9,50.7,17.8
"North Carolina","Rutherford County",36.6,27.3,46.3,19
"North Carolina","Sampson County",34.1,24.3,44.2,19.9
"North Carolina","Scotland County",35.5,28.5,42.8,14.3
"North Carolina","Stanly County",39,29.8,48.6,18.8
"North Carolina","Stokes County",40.1,31.1,49.5,18.4
"North Carolina","Surry County",34.8,27.5,42.4,14.9
"North Carolina","Swain County",43.2,33,53.8,20.8
"North Carolina","Transylvania County",49.2,41.8,56.9,15.1
"North Carolina","Tyrrell County",37.5,29,46.3,17.3
"North Carolina","Union County",49.7,41.1,58.6,17.5
"North Carolina","Vance County",37,27.2,47.2,20
"North Carolina","Wake County",60.3,53.8,66.9,13.1
"North Carolina","Warren County",39,29.7,48.6,18.9
