"state","location","both_sexes_2012","females_2012","males_2012","diff_2012"
"North Dakota","Adams County",68.4,59.5,77.6,18.1
"North Dakota","Barnes County",66.8,60.3,73.6,13.3
"North Dakota","Benson County",47.7,35.7,60.1,24.4
"North Dakota","Billings County",62.8,55.1,70.9,15.8
"North Dakota","Bottineau County",63.1,54.2,72.3,18.1
"North Dakota","Bowman County",70.1,60.8,79.7,18.9
"North Dakota","Burke County",66.6,56.2,77.4,21.2
"North Dakota","Burleigh County",67,59.3,75.1,15.8
"North Dakota","Cass County",67.3,61.5,73.4,11.9
"North Dakota","Cavalier County",69.6,63.4,76.1,12.7
"North Dakota","Dickey County",59.3,50.1,68.9,18.8
"North Dakota","Divide County",61.6,51.2,72.3,21.1
"North Dakota","Dunn County",66.8,56.5,77.5,21
"North Dakota","Eddy County",60.8,53.2,68.8,15.6
"North Dakota","Emmons County",63.3,54.8,72.2,17.4
"North Dakota","Foster County",62.3,54.1,70.8,16.7
"North Dakota","Golden Valley County",64,54.6,73.7,19.1
"North Dakota","Grand Forks County",64,58.4,69.8,11.4
"North Dakota","Grant County",60.7,51,70.8,19.8
"North Dakota","Griggs County",62.4,54.7,70.5,15.8
"North Dakota","Hettinger County",66.9,56.4,77.9,21.5
"North Dakota","Kidder County",62.9,54.1,71.9,17.8
"North Dakota","LaMoure County",68.7,62.1,75.6,13.5
"North Dakota","Logan County",66.9,59.2,74.9,15.7
"North Dakota","McHenry County",60.6,50.6,71,20.4
"North Dakota","McIntosh County",63.1,53.8,72.8,19
"North Dakota","McKenzie County",56.5,44.6,68.8,24.2
"North Dakota","McLean County",63.1,53,73.4,20.4
"North Dakota","Mercer County",63.7,56.4,71.3,14.9
"North Dakota","Morton County",66.3,58.4,74.4,16
"North Dakota","Mountrail County",55.5,45.7,65.6,19.9
"North Dakota","Nelson County",68.1,60.5,75.9,15.4
"North Dakota","North Dakota",64.5,57.2,72.1,14.9
"North Dakota","Oliver County",59.6,49.7,69.8,20.1
"North Dakota","Pembina County",63.3,55.6,71.4,15.8
"North Dakota","Pierce County",64.7,57.4,72.2,14.8
"North Dakota","Ramsey County",64.5,58,71.1,13.1
"North Dakota","Ransom County",65.9,57.6,74.5,16.9
"North Dakota","Renville County",68.3,58.5,78.3,19.8
"North Dakota","Richland County",66.5,58.9,74.4,15.5
"North Dakota","Rolette County",46.2,36,56.8,20.8
"North Dakota","Sargent County",69.1,61.5,77,15.5
"North Dakota","Sheridan County",57.5,47,68.4,21.4
"North Dakota","Sioux County",36.7,29.7,44,14.3
"North Dakota","Slope County",55,42.5,67.9,25.4
"North Dakota","Stark County",67.1,58.2,76.3,18.1
"North Dakota","Steele County",69.4,61.8,77.3,15.5
"North Dakota","Stutsman County",61.7,55.8,67.8,12
"North Dakota","Towner County",63.8,56.3,71.7,15.4
"North Dakota","Traill County",68.8,61.9,76,14.1
"North Dakota","Walsh County",66,58.8,73.4,14.6
"North Dakota","Ward County",63.5,56.5,70.7,14.2
"North Dakota","Wells County",59.5,51,68.3,17.3
"North Dakota","Williams County",61.4,52.8,70.4,17.6
