"state","location","both_sexes_2012","females_2012","males_2012","diff_2012"
"Ohio","Adams County",37.2,29.8,44.8,15
"Ohio","Allen County",53.5,45,62.4,17.4
"Ohio","Ashland County",50,42.7,57.5,14.8
"Ohio","Ashtabula County",50.7,44.7,56.9,12.2
"Ohio","Athens County",47.5,42,53.2,11.2
"Ohio","Auglaize County",54,46.2,62.1,15.9
"Ohio","Belmont County",50.5,41.7,59.6,17.9
"Ohio","Brown County",43.7,34.6,53,18.4
"Ohio","Butler County",55.8,46.6,65.5,18.9
"Ohio","Carroll County",48.9,42.4,55.7,13.3
"Ohio","Champaign County",49,39.8,58.5,18.7
"Ohio","Clark County",50.1,42.2,58.2,16
"Ohio","Clermont County",56.6,49.6,63.9,14.3
"Ohio","Clinton County",46,38.3,53.9,15.6
"Ohio","Columbiana County",48.7,40.6,57.1,16.5
"Ohio","Coshocton County",46.5,38.3,55,16.7
"Ohio","Crawford County",48.6,39.8,57.7,17.9
"Ohio","Cuyahoga County",60.1,53.4,67,13.6
"Ohio","Darke County",50.8,41.9,60,18.1
"Ohio","Defiance County",53.3,43,63.9,20.9
"Ohio","Delaware County",62.6,54.6,70.9,16.3
"Ohio","Erie County",63.5,58.6,68.5,9.9
"Ohio","Fairfield County",53.7,47.6,60.1,12.5
"Ohio","Fayette County",46.4,38,55,17
"Ohio","Franklin County",57.5,50,65.3,15.3
"Ohio","Fulton County",54.4,47.9,61.2,13.3
"Ohio","Gallia County",41.9,34.3,49.9,15.6
"Ohio","Geauga County",63.8,57.6,70.2,12.6
"Ohio","Greene County",56.2,48.1,64.6,16.5
"Ohio","Guernsey County",46.6,40.1,53.4,13.3
"Ohio","Hamilton County",61.1,54.5,67.9,13.4
"Ohio","Hancock County",55.1,47.9,62.5,14.6
"Ohio","Hardin County",47.8,38.6,57.3,18.7
"Ohio","Harrison County",47.9,40.6,55.5,14.9
"Ohio","Henry County",52.3,44.8,60.2,15.4
"Ohio","Highland County",41.9,33.3,50.7,17.4
"Ohio","Hocking County",45.9,38.7,53.3,14.6
"Ohio","Holmes County",41.7,34.2,49.4,15.2
"Ohio","Huron County",55.6,49.1,62.3,13.2
"Ohio","Jackson County",39.6,30.4,49.1,18.7
"Ohio","Jefferson County",50.7,42.8,58.9,16.1
"Ohio","Knox County",50.7,41.7,59.9,18.2
"Ohio","Lake County",63.6,57.6,69.7,12.1
"Ohio","Lawrence County",42.9,32.3,53.8,21.5
"Ohio","Licking County",52.8,45,61,16
"Ohio","Logan County",48.2,39.6,57.1,17.5
"Ohio","Lorain County",62.6,55.3,70.2,14.9
"Ohio","Lucas County",59.3,52.2,66.7,14.5
"Ohio","Madison County",49,43.3,54.9,11.6
"Ohio","Mahoning County",57.2,47.6,67.1,19.5
"Ohio","Marion County",46.5,38.2,55.1,16.9
"Ohio","Medina County",64.1,57.4,71,13.6
"Ohio","Meigs County",40.4,32.8,48.3,15.5
"Ohio","Mercer County",63,55.3,71,15.7
"Ohio","Miami County",53.7,47,60.7,13.7
"Ohio","Monroe County",42.9,35.4,50.7,15.3
"Ohio","Montgomery County",54.1,45.8,62.7,16.9
"Ohio","Morgan County",44.3,38.2,50.6,12.4
"Ohio","Morrow County",47.6,39.9,55.6,15.7
"Ohio","Muskingum County",46.9,40.2,53.9,13.7
"Ohio","Noble County",45.7,40.4,51.3,10.9
"Ohio","Ohio",56.1,48.8,63.8,15
"Ohio","Ottawa County",59.6,55.2,64.2,9
"Ohio","Paulding County",54.2,44.9,63.9,19
"Ohio","Perry County",46.7,39.4,54.3,14.9
"Ohio","Pickaway County",46.9,38,56.1,18.1
"Ohio","Pike County",39.5,29.7,49.5,19.8
"Ohio","Portage County",59.3,50.7,68.2,17.5
"Ohio","Preble County",48,39,57.3,18.3
"Ohio","Putnam County",63.9,57.1,71,13.9
"Ohio","Richland County",49.3,42.7,56.1,13.4
"Ohio","Ross County",45.2,38.1,52.5,14.4
"Ohio","Sandusky County",58.8,52.5,65.3,12.8
"Ohio","Scioto County",40.2,32.1,48.6,16.5
"Ohio","Seneca County",58.8,52.1,65.8,13.7
"Ohio","Shelby County",55.1,47.8,62.6,14.8
"Ohio","Stark County",54.3,47.1,61.9,14.8
"Ohio","Summit County",60.7,54.2,67.4,13.2
"Ohio","Trumbull County",54.6,45.5,64,18.5
"Ohio","Tuscarawas County",51.1,43.3,59.2,15.9
"Ohio","Union County",53.9,45.4,62.7,17.3
"Ohio","Van Wert County",52.3,43.7,61.1,17.4
"Ohio","Vinton County",39.6,30.8,48.6,17.8
"Ohio","Warren County",60.4,51.3,69.9,18.6
"Ohio","Washington County",48.9,40.9,57.3,16.4
"Ohio","Wayne County",52,43.7,60.6,16.9
"Ohio","Williams County",50.2,42.7,58,15.3
"Ohio","Wood County",60.1,55.3,65,9.7
"Ohio","Wyandot County",53.8,44.5,63.4,18.9
