"state","location","both_sexes_2012","females_2012","males_2012","diff_2012"
"Oklahoma","Adair County",34.2,28.4,40.2,11.8
"Oklahoma","Alfalfa County",53.3,44.8,62.1,17.3
"Oklahoma","Atoka County",31.7,21.8,42.1,20.3
"Oklahoma","Beaver County",45.7,35.4,56.4,21
"Oklahoma","Beckham County",42.8,34.6,51.3,16.7
"Oklahoma","Blaine County",44.8,36.9,52.9,16
"Oklahoma","Bryan County",37.8,30.2,45.8,15.6
"Oklahoma","Caddo County",35.8,26.1,45.8,19.7
"Oklahoma","Canadian County",49.9,43.3,56.7,13.4
"Oklahoma","Carter County",44.3,36.4,52.4,16
"Oklahoma","Cherokee County",43,38.2,47.9,9.7
"Oklahoma","Choctaw County",30.1,20.9,39.6,18.7
"Oklahoma","Cimarron County",45.3,35.3,55.8,20.5
"Oklahoma","Cleveland County",51.6,44.2,59.3,15.1
"Oklahoma","Coal County",36.2,27.3,45.5,18.2
"Oklahoma","Comanche County",48.3,38.7,58.3,19.6
"Oklahoma","Cotton County",36.4,28.5,44.5,16
"Oklahoma","Craig County",38.5,31,46.3,15.3
"Oklahoma","Creek County",42.2,36.1,48.5,12.4
"Oklahoma","Custer County",46.2,38.3,54.4,16.1
"Oklahoma","Delaware County",41,31.7,50.6,18.9
"Oklahoma","Dewey County",42.2,32.8,52,19.2
"Oklahoma","Ellis County",46.6,37.1,56.4,19.3
"Oklahoma","Garfield County",47.4,36.1,59.1,23
"Oklahoma","Garvin County",36.9,28.6,45.5,16.9
"Oklahoma","Grady County",43,35.5,50.9,15.4
"Oklahoma","Grant County",54.8,45.6,64.3,18.7
"Oklahoma","Greer County",37.2,29.1,45.7,16.6
"Oklahoma","Harmon County",27.2,16.5,38.3,21.8
"Oklahoma","Harper County",43.4,30.9,56.4,25.5
"Oklahoma","Haskell County",33.8,25.5,42.5,17
"Oklahoma","Hughes County",38.2,30.3,46.5,16.2
"Oklahoma","Jackson County",46.7,37.6,56.1,18.5
"Oklahoma","Jefferson County",32.6,22.3,43.3,21
"Oklahoma","Johnston County",34.3,26.6,42.3,15.7
"Oklahoma","Kay County",49.5,41.6,57.6,16
"Oklahoma","Kingfisher County",47.9,38.7,57.4,18.7
"Oklahoma","Kiowa County",39.5,29.4,50,20.6
"Oklahoma","Latimer County",34,26.8,41.4,14.6
"Oklahoma","Le Flore County",34.5,25.7,43.5,17.8
"Oklahoma","Lincoln County",40.3,29.7,51.2,21.5
"Oklahoma","Logan County",47.5,38.8,56.5,17.7
"Oklahoma","Love County",36.8,26.4,47.7,21.3
"Oklahoma","Major County",40.4,30.4,50.7,20.3
"Oklahoma","Marshall County",40.9,33.5,48.5,15
"Oklahoma","Mayes County",38.8,30.8,47,16.2
"Oklahoma","McClain County",44,36.1,52.2,16.1
"Oklahoma","McCurtain County",37.8,27.7,48.2,20.5
"Oklahoma","McIntosh County",42.8,33.7,52.3,18.6
"Oklahoma","Murray County",42.9,34.5,51.5,17
"Oklahoma","Muskogee County",39.6,31.7,47.8,16.1
"Oklahoma","Noble County",49,41.8,56.5,14.7
"Oklahoma","Nowata County",42.6,36.5,48.8,12.3
"Oklahoma","Okfuskee County",36.1,27.5,45,17.5
"Oklahoma","Oklahoma",46.3,38.5,54.4,15.9
"Oklahoma","Oklahoma County",50.4,41.6,59.6,18
"Oklahoma","Okmulgee County",38.6,30.8,46.8,16
"Oklahoma","Osage County",44.7,37.1,52.7,15.6
"Oklahoma","Ottawa County",38.7,29.9,47.9,18
"Oklahoma","Pawnee County",39.9,32.2,47.8,15.6
"Oklahoma","Payne County",49.2,41.8,56.9,15.1
"Oklahoma","Pittsburg County",37.9,28.7,47.5,18.8
"Oklahoma","Pontotoc County",41.1,33.8,48.6,14.8
"Oklahoma","Pottawatomie County",39.6,32.4,47,14.6
"Oklahoma","Pushmataha County",32.7,23.8,42,18.2
"Oklahoma","Roger Mills County",39.4,28.2,51,22.8
"Oklahoma","Rogers County",47,40.5,53.7,13.2
"Oklahoma","Seminole County",37.3,27.5,47.4,19.9
"Oklahoma","Sequoyah County",40.6,31.9,49.5,17.6
"Oklahoma","Stephens County",41.6,31.5,52,20.5
"Oklahoma","Texas County",45.5,34.5,56.9,22.4
"Oklahoma","Tillman County",34.8,26,43.9,17.9
"Oklahoma","Tulsa County",51.3,45.2,57.5,12.3
"Oklahoma","Wagoner County",49.6,44.1,55.2,11.1
"Oklahoma","Washington County",44.4,38.3,50.7,12.4
"Oklahoma","Washita County",37.4,28,47,19
"Oklahoma","Woods County",54.5,46.2,63.2,17
"Oklahoma","Woodward County",47.8,37.6,58.3,20.7
