"state","location","both_sexes_2012","females_2012","males_2012","diff_2012"
"Oregon","Baker County",56.8,50.1,63.7,13.6
"Oregon","Benton County",67.8,64.5,71.3,6.8
"Oregon","Clackamas County",64.9,60.7,69.3,8.59999999999999
"Oregon","Clatsop County",65.7,60.5,71.1,10.6
"Oregon","Columbia County",61,55.8,66.4,10.6
"Oregon","Coos County",57.2,51,63.6,12.6
"Oregon","Crook County",57.2,51.3,63.4,12.1
"Oregon","Curry County",61.9,57.5,66.6,9.09999999999999
"Oregon","Deschutes County",65.9,61.4,70.5,9.1
"Oregon","Douglas County",55.6,51.6,59.8,8.2
"Oregon","Gilliam County",69.7,67.1,72.4,5.30000000000001
"Oregon","Grant County",58.4,51.6,65.4,13.8
"Oregon","Harney County",56.1,47.6,64.8,17.2
"Oregon","Hood River County",59.7,53.2,66.4,13.2
"Oregon","Jackson County",59.3,54.4,64.4,10
"Oregon","Jefferson County",52.3,46.8,57.9,11.1
"Oregon","Josephine County",57,51.3,63,11.7
"Oregon","Klamath County",57.9,51.8,64.2,12.4
"Oregon","Lake County",60.8,54.8,67,12.2
"Oregon","Lane County",62.3,57.7,67.2,9.5
"Oregon","Lincoln County",62.7,57.9,67.6,9.7
"Oregon","Linn County",57.8,53.1,62.6,9.5
"Oregon","Malheur County",42.4,31.6,53.7,22.1
"Oregon","Marion County",56.8,50.6,63.3,12.7
"Oregon","Morrow County",53.1,44.8,61.6,16.8
"Oregon","Multnomah County",65.1,61.6,68.8,7.2
"Oregon","Oregon",61.7,57,66.6,9.59999999999999
"Oregon","Polk County",60.2,55.9,64.7,8.8
"Oregon","Sherman County",67.1,63.7,70.6,6.89999999999999
"Oregon","Tillamook County",61.9,57.8,66.1,8.3
"Oregon","Umatilla County",53.7,46.3,61.3,15
"Oregon","Union County",55.8,49,62.8,13.8
"Oregon","Wallowa County",61.5,56.2,66.9,10.7
"Oregon","Wasco County",58.6,52.6,64.8,12.2
"Oregon","Washington County",63.1,58,68.3,10.3
"Oregon","Wheeler County",62.8,60,65.7,5.7
"Oregon","Yamhill County",57.5,50.6,64.6,14
