"state","location","both_sexes_2012","females_2012","males_2012","diff_2012"
"Pennsylvania","Adams County",54.8,46.7,63.2,16.5
"Pennsylvania","Allegheny County",65.1,59.3,71.1,11.8
"Pennsylvania","Armstrong County",53.6,44.4,63.2,18.8
"Pennsylvania","Beaver County",58.2,50.3,66.2,15.9
"Pennsylvania","Bedford County",47,38.6,55.7,17.1
"Pennsylvania","Berks County",56.7,49.8,63.8,14
"Pennsylvania","Blair County",54.8,46.9,62.9,16
"Pennsylvania","Bradford County",55.1,46.5,64,17.5
"Pennsylvania","Bucks County",66.1,61,71.3,10.3
"Pennsylvania","Butler County",59.5,52.3,66.9,14.6
"Pennsylvania","Cambria County",58.4,50.4,66.7,16.3
"Pennsylvania","Cameron County",51.7,43.8,59.9,16.1
"Pennsylvania","Carbon County",59,50.8,67.5,16.7
"Pennsylvania","Centre County",61.6,53.6,69.9,16.3
"Pennsylvania","Chester County",66.9,60.3,73.8,13.5
"Pennsylvania","Clarion County",54.3,45.2,63.7,18.5
"Pennsylvania","Clearfield County",53.7,45.8,61.9,16.1
"Pennsylvania","Clinton County",54.7,47,62.6,15.6
"Pennsylvania","Columbia County",56.3,47,65.9,18.9
"Pennsylvania","Crawford County",54.7,46.6,63,16.4
"Pennsylvania","Cumberland County",59.9,53.5,66.4,12.9
"Pennsylvania","Dauphin County",56.8,49.9,64,14.1
"Pennsylvania","Delaware County",64.8,58.8,71,12.2
"Pennsylvania","Elk County",63.2,54.8,71.9,17.1
"Pennsylvania","Erie County",60.7,54.9,66.7,11.8
"Pennsylvania","Fayette County",52.1,42.8,61.7,18.9
"Pennsylvania","Forest County",52.9,44.7,61.4,16.7
"Pennsylvania","Franklin County",53,44.7,61.6,16.9
"Pennsylvania","Fulton County",50.9,42.5,59.7,17.2
"Pennsylvania","Greene County",53.2,44.1,62.6,18.5
"Pennsylvania","Huntingdon County",51,43.5,58.7,15.2
"Pennsylvania","Indiana County",54.5,45.3,63.9,18.6
"Pennsylvania","Jefferson County",53.2,44.1,62.7,18.6
"Pennsylvania","Juniata County",48.5,38.8,58.5,19.7
"Pennsylvania","Lackawanna County",62.9,56.1,69.9,13.8
"Pennsylvania","Lancaster County",52.6,46.9,58.6,11.7
"Pennsylvania","Lawrence County",53,42.6,63.8,21.2
"Pennsylvania","Lebanon County",55.2,48.3,62.3,14
"Pennsylvania","Lehigh County",57.5,50.6,64.6,14
"Pennsylvania","Luzerne County",61.5,54.6,68.7,14.1
"Pennsylvania","Lycoming County",55.9,47.6,64.5,16.9
"Pennsylvania","McKean County",54.8,47.1,62.9,15.8
"Pennsylvania","Mercer County",54.3,46.7,62.2,15.5
"Pennsylvania","Mifflin County",44.1,36.3,52.3,16
"Pennsylvania","Monroe County",58.5,51.8,65.4,13.6
"Pennsylvania","Montgomery County",66.1,59.5,72.9,13.4
"Pennsylvania","Montour County",60.1,51.1,69.5,18.4
"Pennsylvania","Northampton County",60.6,53.9,67.5,13.6
"Pennsylvania","Northumberland County",53.8,45.5,62.3,16.8
"Pennsylvania","Pennsylvania",59.2,52.1,66.5,14.4
"Pennsylvania","Perry County",53.5,44.3,63,18.7
"Pennsylvania","Philadelphia County",54.1,46.7,61.8,15.1
"Pennsylvania","Pike County",64.3,59.8,69,9.2
"Pennsylvania","Potter County",53.6,45,62.6,17.6
"Pennsylvania","Schuylkill County",56.5,47.9,65.4,17.5
"Pennsylvania","Snyder County",51.9,42.3,61.9,19.6
"Pennsylvania","Somerset County",48.8,40.7,57.3,16.6
"Pennsylvania","Sullivan County",59.2,51.2,67.5,16.3
"Pennsylvania","Susquehanna County",58.4,50.6,66.6,16
"Pennsylvania","Tioga County",56.3,48.6,64.2,15.6
"Pennsylvania","Union County",54.3,47.9,61,13.1
"Pennsylvania","Venango County",53.5,45,62.3,17.3
"Pennsylvania","Warren County",57.6,50.4,65.1,14.7
"Pennsylvania","Washington County",59.5,51.2,68.2,17
"Pennsylvania","Wayne County",60.3,52.5,68.4,15.9
"Pennsylvania","Westmoreland County",59.8,50.4,69.7,19.3
"Pennsylvania","Wyoming County",58.5,50.6,66.7,16.1
"Pennsylvania","York County",55.3,47.5,63.5,16
