"state","location","both_sexes_2012","females_2012","males_2012","diff_2012"
"South Carolina","Abbeville County",41.3,33.3,49.6,16.3
"South Carolina","Aiken County",50.8,41.8,60.2,18.4
"South Carolina","Allendale County",40.9,31.5,50.6,19.1
"South Carolina","Anderson County",43.1,33.9,52.6,18.7
"South Carolina","Bamberg County",41.8,31.4,52.7,21.3
"South Carolina","Barnwell County",35.1,25.7,44.9,19.2
"South Carolina","Beaufort County",66.3,61.2,71.6,10.4
"South Carolina","Berkeley County",51.3,40.8,62.3,21.5
"South Carolina","Calhoun County",44.4,32.8,56.4,23.6
"South Carolina","Charleston County",63.6,55.8,71.7,15.9
"South Carolina","Cherokee County",35.1,26.7,43.8,17.1
"South Carolina","Chester County",37,26.8,47.6,20.8
"South Carolina","Chesterfield County",34.1,27.2,41.2,14
"South Carolina","Clarendon County",37.2,26.7,48.1,21.4
"South Carolina","Colleton County",44.3,34.8,54,19.2
"South Carolina","Darlington County",36.9,28.2,45.9,17.7
"South Carolina","Dillon County",32.5,23,42.3,19.3
"South Carolina","Dorchester County",58.2,49.2,67.5,18.3
"South Carolina","Edgefield County",45.7,37.6,54.2,16.6
"South Carolina","Fairfield County",38.8,26.1,52,25.9
"South Carolina","Florence County",42.1,32.9,51.7,18.8
"South Carolina","Georgetown County",50.3,40.9,60.1,19.2
"South Carolina","Greenville County",51.2,42.9,59.9,17
"South Carolina","Greenwood County",46.8,38.8,55.1,16.3
"South Carolina","Hampton County",37.8,27.7,48.3,20.6
"South Carolina","Horry County",53.8,47.6,60.3,12.7
"South Carolina","Jasper County",43.3,36.7,50.1,13.4
"South Carolina","Kershaw County",43.8,33.8,54.2,20.4
"South Carolina","Lancaster County",42.5,33.1,52.3,19.2
"South Carolina","Laurens County",41.8,33.1,50.9,17.8
"South Carolina","Lee County",34,25,43.3,18.3
"South Carolina","Lexington County",54.4,43.6,65.5,21.9
"South Carolina","Marion County",36.1,27.9,44.7,16.8
"South Carolina","Marlboro County",34.9,26.6,43.5,16.9
"South Carolina","McCormick County",44.6,36.1,53.4,17.3
"South Carolina","Newberry County",50.7,38.6,63.3,24.7
"South Carolina","Oconee County",45.4,38.1,53,14.9
"South Carolina","Orangeburg County",41.6,30.3,53.3,23
"South Carolina","Pickens County",44.9,36.5,53.5,17
"South Carolina","Richland County",55.5,45.1,66.2,21.1
"South Carolina","Saluda County",45,33.7,56.8,23.1
"South Carolina","South Carolina",50,41.2,59.1,17.9
"South Carolina","Spartanburg County",47,39.4,54.8,15.4
"South Carolina","Sumter County",42.6,32.5,53,20.5
"South Carolina","Union County",35.1,25.2,45.4,20.2
"South Carolina","Williamsburg County",35.8,25.9,46,20.1
"South Carolina","York County",52.3,43.5,61.5,18
