"state","location","both_sexes_2012","females_2012","males_2012","diff_2012"
"South Dakota","Aurora County",62.5,53.2,72,18.8
"South Dakota","Beadle County",57.7,49.4,66.4,17
"South Dakota","Bennett County",41.8,33,50.8,17.8
"South Dakota","Bon Homme County",60.7,53.5,68.2,14.7
"South Dakota","Brookings County",61.7,55.2,68.3,13.1
"South Dakota","Brown County",63.1,57,69.4,12.4
"South Dakota","Brule County",58.6,47.5,70.2,22.7
"South Dakota","Buffalo County",27.4,19.7,35.4,15.7
"South Dakota","Butte County",55.9,50.6,61.4,10.8
"South Dakota","Campbell County",61.5,52.8,70.4,17.6
"South Dakota","Charles Mix County",49.5,37.8,61.6,23.8
"South Dakota","Clark County",57.4,46.9,68.3,21.4
"South Dakota","Clay County",60.8,54,67.8,13.8
"South Dakota","Codington County",65,58.6,71.7,13.1
"South Dakota","Corson County",34.7,28,41.6,13.6
"South Dakota","Custer County",56,47,65.2,18.2
"South Dakota","Davison County",63.9,55.7,72.4,16.7
"South Dakota","Day County",57.1,46.9,67.6,20.7
"South Dakota","Deuel County",60.2,51.5,69.3,17.8
"South Dakota","Dewey County",33.4,27.6,39.5,11.9
"South Dakota","Douglas County",52.7,42.3,63.4,21.1
"South Dakota","Edmunds County",61.7,53.8,69.9,16.1
"South Dakota","Fall River County",56.6,50.7,62.7,12
"South Dakota","Faulk County",62.7,54.3,71.5,17.2
"South Dakota","Grant County",65.1,57.5,72.9,15.4
"South Dakota","Gregory County",55.2,44.8,66,21.2
"South Dakota","Haakon County",66.3,59.4,73.4,14
"South Dakota","Hamlin County",61.7,52.8,71,18.2
"South Dakota","Hand County",64.3,57.5,71.3,13.8
"South Dakota","Hanson County",59.7,51.6,68.2,16.6
"South Dakota","Harding County",69.1,62.1,76.3,14.2
"South Dakota","Hughes County",64.4,58.6,70.5,11.9
"South Dakota","Hutchinson County",60.4,52.6,68.6,16
"South Dakota","Hyde County",59.5,48.4,71,22.6
"South Dakota","Jackson County",45.5,34.9,56.6,21.7
"South Dakota","Jerauld County",60.8,51.5,70.4,18.9
"South Dakota","Jones County",55.2,46.8,63.9,17.1
"South Dakota","Kingsbury County",62.9,51.9,74.3,22.4
"South Dakota","Lake County",62.9,56,70.1,14.1
"South Dakota","Lawrence County",64.9,57.9,72.1,14.2
"South Dakota","Lincoln County",64.5,57.6,71.7,14.1
"South Dakota","Lyman County",52.4,40.4,65,24.6
"South Dakota","Marshall County",56.6,48.2,65.3,17.1
"South Dakota","McCook County",58.5,49.5,67.7,18.2
"South Dakota","McPherson County",55.4,46.2,64.9,18.7
"South Dakota","Meade County",61.3,54.2,68.6,14.4
"South Dakota","Mellette County",37.4,27.2,48,20.8
"South Dakota","Miner County",66.4,57.5,75.6,18.1
"South Dakota","Minnehaha County",62.6,56.9,68.5,11.6
"South Dakota","Moody County",61.2,53.6,69.1,15.5
"South Dakota","Pennington County",57.1,51.6,62.9,11.3
"South Dakota","Perkins County",59.3,48.5,70.5,22
"South Dakota","Potter County",57,48.5,65.8,17.3
"South Dakota","Roberts County",47.6,36.5,59,22.5
"South Dakota","Sanborn County",66.1,58,74.5,16.5
"South Dakota","Shannon County",28.6,20.4,37,16.6
"South Dakota","South Dakota",59.9,52.9,67.1,14.2
"South Dakota","Spink County",60.4,51.7,69.4,17.7
"South Dakota","Stanley County",69.6,63.3,76.2,12.9
"South Dakota","Sully County",65.6,58.4,73,14.6
"South Dakota","Todd County",32.7,24.3,41.5,17.2
"South Dakota","Tripp County",62.9,57.2,68.8,11.6
"South Dakota","Turner County",61.3,52.4,70.6,18.2
"South Dakota","Union County",64.4,56.7,72.5,15.8
"South Dakota","Walworth County",64.2,57.4,71.1,13.7
"South Dakota","Yankton County",64.3,58.1,70.7,12.6
"South Dakota","Ziebach County",33.9,26.9,41,14.1
