"state","location","both_sexes_2012","females_2012","males_2012","diff_2012"
"Tennessee","Anderson County",37.8,31,44.8,13.8
"Tennessee","Bedford County",35.4,25.4,45.8,20.4
"Tennessee","Benton County",30.4,22.7,38.4,15.7
"Tennessee","Bledsoe County",29,21.6,36.7,15.1
"Tennessee","Blount County",39,33.4,44.8,11.4
"Tennessee","Bradley County",33.2,28.1,38.4,10.3
"Tennessee","Campbell County",29.4,22,37.1,15.1
"Tennessee","Cannon County",32.1,24.9,39.5,14.6
"Tennessee","Carroll County",30.8,22.5,39.4,16.9
"Tennessee","Carter County",31,24.1,38.1,14
"Tennessee","Cheatham County",38.9,31.1,46.9,15.8
"Tennessee","Chester County",32.6,25.6,39.9,14.3
"Tennessee","Claiborne County",26.3,19.5,33.4,13.9
"Tennessee","Clay County",32.8,24.5,41.3,16.8
"Tennessee","Cocke County",27.4,21.2,33.8,12.6
"Tennessee","Coffee County",39.5,31.7,47.6,15.9
"Tennessee","Crockett County",30,20.5,39.8,19.3
"Tennessee","Cumberland County",40.6,34.5,46.9,12.4
"Tennessee","Davidson County",51,44.9,57.3,12.4
"Tennessee","Decatur County",30.5,22.1,39.3,17.2
"Tennessee","DeKalb County",32.4,24.4,40.7,16.3
"Tennessee","Dickson County",35.1,27.5,43,15.5
"Tennessee","Dyer County",36,29,43.4,14.4
"Tennessee","Fayette County",38.9,30.1,48,17.9
"Tennessee","Fentress County",29.6,20.7,38.8,18.1
"Tennessee","Franklin County",36.6,28.4,45.1,16.7
"Tennessee","Gibson County",32.9,25,41.1,16.1
"Tennessee","Giles County",34.1,26.5,41.9,15.4
"Tennessee","Grainger County",24.3,17.2,31.8,14.6
"Tennessee","Greene County",32.4,24.7,40.5,15.8
"Tennessee","Grundy County",30.6,21.2,40.2,19
"Tennessee","Hamblen County",31.7,24.2,39.4,15.2
"Tennessee","Hamilton County",45.3,41.6,49.2,7.6
"Tennessee","Hancock County",18.7,12.5,25.1,12.6
"Tennessee","Hardeman County",29.7,20.8,39,18.2
"Tennessee","Hardin County",33.5,24.6,42.7,18.1
"Tennessee","Hawkins County",30.3,23.2,37.6,14.4
"Tennessee","Haywood County",35.8,27.4,44.4,17
"Tennessee","Henderson County",31,23.6,38.7,15.1
"Tennessee","Henry County",38.5,31.1,46.3,15.2
"Tennessee","Hickman County",29.3,21.2,37.6,16.4
"Tennessee","Houston County",31.7,23.2,40.4,17.2
"Tennessee","Humphreys County",34.4,26.5,42.6,16.1
"Tennessee","Jackson County",29.6,21.2,38.3,17.1
"Tennessee","Jefferson County",31.8,26,37.7,11.7
"Tennessee","Johnson County",27,18.2,36,17.8
"Tennessee","Knox County",44.7,39,50.7,11.7
"Tennessee","Lake County",24.9,15.5,34.6,19.1
"Tennessee","Lauderdale County",32.2,23.9,40.8,16.9
"Tennessee","Lawrence County",29.5,21.2,38.1,16.9
"Tennessee","Lewis County",31.4,24,39,15
"Tennessee","Lincoln County",33.2,23.9,42.9,19
"Tennessee","Loudon County",39.3,34.3,44.5,10.2
"Tennessee","Macon County",31.6,24.5,39,14.5
"Tennessee","Madison County",39.9,32.3,47.7,15.4
"Tennessee","Marion County",34.3,26.1,42.7,16.6
"Tennessee","Marshall County",33.1,25.5,41,15.5
"Tennessee","Maury County",40.8,33.7,48.1,14.4
"Tennessee","McMinn County",30.3,24.9,35.9,11
"Tennessee","McNairy County",29.2,20.8,37.8,17
"Tennessee","Meigs County",27.7,21.2,34.4,13.2
"Tennessee","Monroe County",30,23.6,36.7,13.1
"Tennessee","Montgomery County",44.7,38.7,50.9,12.2
"Tennessee","Moore County",35.6,27.3,44.3,17
"Tennessee","Morgan County",27.9,20.9,35.1,14.2
"Tennessee","Obion County",30.7,22.6,39.1,16.5
"Tennessee","Overton County",32,23.4,40.9,17.5
"Tennessee","Perry County",29.6,19.7,39.8,20.1
"Tennessee","Pickett County",28.3,20.7,36.3,15.6
"Tennessee","Polk County",28.8,22.8,34.9,12.1
"Tennessee","Putnam County",37.1,30.2,44.3,14.1
"Tennessee","Rhea County",31.7,25.4,38.2,12.8
"Tennessee","Roane County",35.2,29.2,41.4,12.2
"Tennessee","Robertson County",39.1,32.2,46.2,14
"Tennessee","Rutherford County",45.1,38,52.4,14.4
"Tennessee","Scott County",28.3,22.3,34.6,12.3
"Tennessee","Sequatchie County",33.1,26.5,39.9,13.4
"Tennessee","Sevier County",35.1,29.2,41.1,11.9
"Tennessee","Shelby County",48.1,40.7,55.8,15.1
"Tennessee","Smith County",35,27.4,43,15.6
"Tennessee","Stewart County",32.7,24.1,41.7,17.6
"Tennessee","Sullivan County",38.4,31.7,45.4,13.7
"Tennessee","Sumner County",43.2,38.5,48.2,9.7
"Tennessee","Tennessee",41.2,34.7,47.9,13.2
"Tennessee","Tipton County",38.2,29.9,46.9,17
"Tennessee","Trousdale County",35.8,26.9,45,18.1
"Tennessee","Unicoi County",30,22.4,38,15.6
"Tennessee","Union County",26.3,19.2,33.7,14.5
"Tennessee","Van Buren County",30.7,23.4,38.3,14.9
"Tennessee","Warren County",30.1,22.2,38.4,16.2
"Tennessee","Washington County",42.2,36.5,48,11.5
"Tennessee","Wayne County",29.2,20.7,38,17.3
"Tennessee","Weakley County",32.1,25.2,39.3,14.1
"Tennessee","White County",31,23.5,38.8,15.3
"Tennessee","Williamson County",55.3,50.5,60.3,9.8
"Tennessee","Wilson County",44,37.9,50.2,12.3
