"state","location","both_sexes_2012","females_2012","males_2012","diff_2012"
"Texas","Anderson County",43.8,35.5,52.3,16.8
"Texas","Andrews County",44.7,35.3,54.6,19.3
"Texas","Angelina County",42.6,34.9,50.6,15.7
"Texas","Aransas County",54.5,46.4,62.8,16.4
"Texas","Archer County",42.2,33.5,51.2,17.7
"Texas","Armstrong County",42.4,33.7,51.5,17.8
"Texas","Atascosa County",46.8,36.2,57.7,21.5
"Texas","Austin County",54.7,45,64.7,19.7
"Texas","Bailey County",40,30.6,49.7,19.1
"Texas","Bandera County",53.4,43.7,63.6,19.9
"Texas","Bastrop County",51.2,41.8,61.1,19.3
"Texas","Baylor County",36.8,25.8,48.2,22.4
"Texas","Bee County",49.9,39.4,60.7,21.3
"Texas","Bell County",52.1,42.6,62,19.4
"Texas","Bexar County",55.8,49.4,62.4,13
"Texas","Blanco County",54.7,45.4,64.4,19
"Texas","Borden County",35.3,24,47,23
"Texas","Bosque County",50.1,40.7,59.8,19.1
"Texas","Bowie County",42.9,33.9,52.3,18.4
"Texas","Brazoria County",51.9,43.1,60.9,17.8
"Texas","Brazos County",52.6,44.2,61.3,17.1
"Texas","Brewster County",54.6,44.7,64.9,20.2
"Texas","Briscoe County",35.7,26.1,45.7,19.6
"Texas","Brooks County",44,33.4,55,21.6
"Texas","Brown County",42,32.6,51.9,19.3
"Texas","Burleson County",48.4,38.4,58.8,20.4
"Texas","Burnet County",51.3,41.9,61.1,19.2
"Texas","Caldwell County",49.9,41.2,59,17.8
"Texas","Calhoun County",46.2,35.1,57.6,22.5
"Texas","Callahan County",43.5,34.9,52.5,17.6
"Texas","Cameron County",42.3,29.4,55.6,26.2
"Texas","Camp County",44.5,33.7,55.6,21.9
"Texas","Carson County",43.8,34.6,53.4,18.8
"Texas","Cass County",38.2,27.9,48.9,21
"Texas","Castro County",43.5,33.1,54.2,21.1
"Texas","Chambers County",54.1,46.5,62,15.5
"Texas","Cherokee County",41.1,32.3,50.1,17.8
"Texas","Childress County",48.1,41.7,54.7,13
"Texas","Clay County",41.8,33.3,50.5,17.2
"Texas","Cochran County",34,23.3,45.1,21.8
"Texas","Coke County",41,30.9,51.5,20.6
"Texas","Coleman County",46.7,36.8,57.1,20.3
"Texas","Collin County",59.9,55.1,64.8,9.7
"Texas","Collingsworth County",30,19.9,40.6,20.7
"Texas","Colorado County",53.8,44.2,63.7,19.5
"Texas","Comal County",58.9,49.9,68.2,18.3
"Texas","Comanche County",40.4,30.8,50.3,19.5
"Texas","Concho County",39.1,29.9,48.7,18.8
"Texas","Cooke County",48.7,39.8,58,18.2
"Texas","Coryell County",49.2,39.5,59.3,19.8
"Texas","Cottle County",33.4,22.9,44.4,21.5
"Texas","Crane County",46.6,38.9,54.7,15.8
"Texas","Crockett County",52.2,43.9,60.7,16.8
"Texas","Crosby County",35.4,24.9,46.4,21.5
"Texas","Culberson County",39.6,27.9,51.8,23.9
"Texas","Dallam County",41.7,32.7,51,18.3
"Texas","Dallas County",53,45.3,61,15.7
"Texas","Dawson County",39,29.5,48.9,19.4
"Texas","Deaf Smith County",43.9,35.1,53.1,18
"Texas","Delta County",37.6,28,47.6,19.6
"Texas","Denton County",56.4,49.8,63.1,13.3
"Texas","DeWitt County",51.3,42,61,19
"Texas","Dickens County",35.9,26.7,45.4,18.7
"Texas","Dimmit County",47.4,36.2,58.9,22.7
"Texas","Donley County",39.5,30.4,49,18.6
"Texas","Duval County",41.7,31,52.7,21.7
"Texas","Eastland County",38.1,29,47.5,18.5
"Texas","Ector County",45.5,35.7,55.7,20
"Texas","Edwards County",42.4,31.9,53.3,21.4
"Texas","El Paso County",49.6,38,61.6,23.6
"Texas","Ellis County",49.9,42.5,57.6,15.1
"Texas","Erath County",45.7,37.3,54.5,17.2
"Texas","Falls County",45,34.6,55.8,21.2
"Texas","Fannin County",39.7,30.2,49.5,19.3
"Texas","Fayette County",58.4,49.8,67.3,17.5
"Texas","Fisher County",36.9,26.1,48.1,22
"Texas","Floyd County",43.6,34.4,53.2,18.8
"Texas","Foard County",33.1,21.9,44.7,22.8
"Texas","Fort Bend County",58.2,49.8,66.8,17
"Texas","Franklin County",47.3,38.9,56.1,17.2
"Texas","Freestone County",46.9,38.8,55.4,16.6
"Texas","Frio County",44.8,34,56,22
"Texas","Gaines County",37.4,25.9,49.2,23.3
"Texas","Galveston County",57.9,49.5,66.5,17
"Texas","Garza County",44.1,34.6,53.9,19.3
"Texas","Gillespie County",61.5,54.9,68.4,13.5
"Texas","Glasscock County",50.1,42.2,58.4,16.2
"Texas","Goliad County",51,41.7,60.5,18.8
"Texas","Gonzales County",45.3,33,57.9,24.9
"Texas","Gray County",39.8,31.2,48.7,17.5
"Texas","Grayson County",46.4,38.3,54.9,16.6
"Texas","Gregg County",46.9,39.6,54.5,14.9
"Texas","Grimes County",47.1,37.2,57.4,20.2
"Texas","Guadalupe County",56.5,48.7,64.5,15.8
"Texas","Hale County",37,25.9,48.4,22.5
"Texas","Hall County",38.1,26.8,49.8,23
"Texas","Hamilton County",45.2,36.7,54.1,17.4
"Texas","Hansford County",48.1,40.1,56.3,16.2
"Texas","Hardeman County",37,26.5,47.8,21.3
"Texas","Hardin County",46.2,37.9,54.8,16.9
"Texas","Harris County",54.3,45.1,63.8,18.7
"Texas","Harrison County",42.2,33.7,51,17.3
"Texas","Hartley County",45.6,38.9,52.5,13.6
"Texas","Haskell County",35.4,25.3,46,20.7
"Texas","Hays County",60.7,52,69.8,17.8
"Texas","Hemphill County",45.7,37.2,54.5,17.3
"Texas","Henderson County",45.9,37,55,18
"Texas","Hidalgo County",43,31.6,54.8,23.2
"Texas","Hill County",43.8,34,54.1,20.1
"Texas","Hockley County",39,29.2,49.1,19.9
"Texas","Hood County",55.9,50.1,62,11.9
"Texas","Hopkins County",43.1,34,52.6,18.6
"Texas","Houston County",42.2,33.2,51.5,18.3
"Texas","Howard County",44.4,36.4,52.8,16.4
"Texas","Hudspeth County",37.8,26.4,49.7,23.3
"Texas","Hunt County",43.2,34.8,51.8,17
"Texas","Hutchinson County",41.9,33.3,50.7,17.4
"Texas","Irion County",50.5,40.8,60.7,19.9
"Texas","Jack County",44.2,36.1,52.6,16.5
"Texas","Jackson County",48,39.1,57.3,18.2
"Texas","Jasper County",39.4,28.8,50.3,21.5
"Texas","Jeff Davis County",52,40.4,64,23.6
"Texas","Jefferson County",50.1,40.9,59.7,18.8
"Texas","Jim Hogg County",47.7,38.9,56.8,17.9
"Texas","Jim Wells County",45.7,34.2,57.6,23.4
"Texas","Johnson County",47,40.5,53.8,13.3
"Texas","Jones County",39.7,30.9,48.8,17.9
"Texas","Karnes County",46.3,37.6,55.4,17.8
"Texas","Kaufman County",46,37,55.3,18.3
"Texas","Kendall County",62.3,54.8,70,15.2
"Texas","Kenedy County",41.3,28.2,54.9,26.7
"Texas","Kent County",35.2,24.7,46.2,21.5
"Texas","Kerr County",55.3,45.5,65.3,19.8
"Texas","Kimble County",50,40.8,59.5,18.7
"Texas","King County",31,21.2,41.1,19.9
"Texas","Kinney County",52.5,43.4,61.9,18.5
"Texas","Kleberg County",48.9,38.2,59.9,21.7
"Texas","Knox County",38.4,27.4,49.8,22.4
"Texas","La Salle County",43.5,34.7,52.6,17.9
"Texas","Lamar County",43.3,34.7,52.1,17.4
"Texas","Lamb County",37.9,27.5,48.7,21.2
"Texas","Lampasas County",47.7,38.9,56.9,18
"Texas","Lavaca County",53.8,43.7,64.2,20.5
"Texas","Lee County",43.4,33.8,53.4,19.6
