"state","location","both_sexes_2012","females_2012","males_2012","diff_2012"
"Utah","Beaver County",24.8,19.7,30.1,10.4
"Utah","Box Elder County",19.6,14.9,24.5,9.6
"Utah","Cache County",18.6,15.9,21.4,5.5
"Utah","Carbon County",34.2,30,38.5,8.5
"Utah","Daggett County",29.6,23.6,35.9,12.3
"Utah","Davis County",23.1,18.6,27.7,9.1
"Utah","Duchesne County",25.7,18.9,32.7,13.8
"Utah","Emery County",20.3,15.7,25.1,9.4
"Utah","Garfield County",24.4,18.8,30.3,11.5
"Utah","Grand County",45.8,40.7,51.1,10.4
"Utah","Iron County",24.9,20.6,29.4,8.8
"Utah","Juab County",19.4,15,24,9
"Utah","Kane County",33.8,28,39.9,11.9
"Utah","Millard County",19.5,14.8,24.3,9.5
"Utah","Morgan County",21,16.3,25.8,9.5
"Utah","Piute County",23.3,18.7,28.2,9.5
"Utah","Rich County",17.9,13.8,22,8.2
"Utah","Salt Lake County",35.9,30.8,41.2,10.4
"Utah","San Juan County",27,20.3,33.9,13.6
"Utah","Sanpete County",19.7,14.3,25.2,10.9
"Utah","Sevier County",20,15.6,24.6,9
"Utah","Summit County",57.7,52.3,63.3,11
"Utah","Tooele County",28.1,24.5,31.9,7.4
"Utah","Uintah County",28,23,33.2,10.2
"Utah","Utah",28.2,24,32.6,8.6
"Utah","Utah County",14.3,11.7,16.9,5.2
"Utah","Wasatch County",29,25.1,33,7.9
"Utah","Washington County",26.6,25.1,28,2.9
"Utah","Wayne County",25.7,19.1,32.5,13.4
"Utah","Weber County",32.4,26.9,38.1,11.2
