"state","location","both_sexes_2012","females_2012","males_2012","diff_2012"
"Vermont","Addison County",69.1,63.3,75.1,11.8
"Vermont","Bennington County",67.1,61.4,73.1,11.7
"Vermont","Caledonia County",64.9,59.4,70.6,11.2
"Vermont","Chittenden County",71.5,66.3,76.9,10.6
"Vermont","Essex County",63.7,56.2,71.5,15.3
"Vermont","Franklin County",66.3,60,72.9,12.9
"Vermont","Grand Isle County",68.8,62.5,75.5,13
"Vermont","Lamoille County",69.7,65.4,74.2,8.8
"Vermont","Orange County",65.7,59.7,71.9,12.2
"Vermont","Orleans County",65.3,60,70.8,10.8
"Vermont","Rutland County",64.3,57.9,71,13.1
"Vermont","Vermont",68.4,62.9,74.2,11.3
"Vermont","Washington County",70.2,66.1,74.4,8.30000000000001
"Vermont","Windham County",66.1,59.7,72.7,13
"Vermont","Windsor County",70.6,64.7,76.7,12
