"state","location","both_sexes_2012","females_2012","males_2012","diff_2012"
"Virginia","Accomack County",48.1,39.3,57.3,18
"Virginia","Albemarle County",62.3,54.5,70.2,15.7
"Virginia","Alexandria City",67.9,60.3,75.7,15.4
"Virginia","Alleghany County",44.8,34.3,55.7,21.4
"Virginia","Amelia County",44.5,35.7,53.7,18
"Virginia","Amherst County",45.3,36.9,54.1,17.2
"Virginia","Appomattox County",44.7,34.7,55.1,20.4
"Virginia","Arlington County",70,64.7,75.5,10.8
"Virginia","Augusta County, Waynesboro City",50.2,40.8,59.9,19.1
"Virginia","Bath County",50.7,39.5,62.2,22.7
"Virginia","Bedford County, Bedford City",47.4,38.9,56.2,17.3
"Virginia","Bland County",35.9,26.9,45.3,18.4
"Virginia","Botetourt County",46.5,35.7,57.7,22
"Virginia","Bristol City",33.4,26.2,40.9,14.7
"Virginia","Brunswick County",37.3,27.6,47.3,19.7
"Virginia","Buchanan County",23.8,15.7,32.2,16.5
"Virginia","Buckingham County",38.6,31.8,45.6,13.8
"Virginia","Buena Vista City",32.3,24.2,40.7,16.5
"Virginia","Campbell County",47.6,39.3,56.2,16.9
"Virginia","Caroline County",47.8,39.6,56.4,16.8
"Virginia","Carroll County",36.3,27.3,45.6,18.3
"Virginia","Charles City County",40.6,31.3,50.2,18.9
"Virginia","Charlotte County",40.9,31.7,50.4,18.7
"Virginia","Charlottesville City",63.6,59.6,67.7,8.1
"Virginia","Chesapeake City",56.1,50.5,61.9,11.4
"Virginia","Chesterfield County",60.7,53.8,67.8,14
"Virginia","Clarke County",56,49.1,63.1,14
"Virginia","Colonial Heights City",44.4,36.8,52.4,15.6
"Virginia","Covington City",44.9,32.7,57.6,24.9
"Virginia","Craig County",36.3,25.2,47.9,22.7
"Virginia","Culpeper County",52.3,44.5,60.4,15.9
"Virginia","Cumberland County",40.7,32.4,49.3,16.9
"Virginia","Danville City",41.5,33.4,49.9,16.5
"Virginia","Dickenson County",25.7,18.5,33.1,14.6
"Virginia","Dinwiddie County",47.1,38.2,56.4,18.2
"Virginia","Emporia City",44,33.9,54.5,20.6
"Virginia","Essex County",45.3,36.9,54,17.1
"Virginia","Fairfax County, Fairfax City",65.9,59.7,72.4,12.7
"Virginia","Falls Church City",78.7,74,83.6,9.59999999999999
"Virginia","Fauquier County",58.8,52,65.7,13.7
"Virginia","Floyd County",40.7,30.9,50.8,19.9
"Virginia","Fluvanna County",56.1,50,62.5,12.5
"Virginia","Franklin County",43.6,34.8,52.7,17.9
"Virginia","Frederick County",53.3,46.5,60.5,14
"Virginia","Fredericksburg City",53,46.9,59.3,12.4
"Virginia","Galax City",44,34.9,53.5,18.6
"Virginia","Giles County",38.9,27.3,50.8,23.5
"Virginia","Gloucester County",54.5,45.7,63.7,18
"Virginia","Goochland County",56.9,49.2,64.9,15.7
"Virginia","Grayson County",32.7,24.4,41.4,17
"Virginia","Greene County",55,47.4,62.9,15.5
"Virginia","Greensville County",35.1,26.2,44.4,18.2
"Virginia","Halifax County",38.8,30.4,47.6,17.2
"Virginia","Hampton City",52.3,43.9,61,17.1
"Virginia","Hanover County",58,51,65.3,14.3
"Virginia","Harrisonburg City",45.8,37.7,54.1,16.4
"Virginia","Henrico County",60.7,55.3,66.3,11
"Virginia","Henry County",36.3,26.9,46,19.1
"Virginia","Highland County",58.3,48.9,67.9,19
"Virginia","Hopewell City",46.4,40,53,13
"Virginia","Isle of Wight County",54.1,46.2,62.3,16.1
"Virginia","James City County",65.8,60.2,71.6,11.4
"Virginia","King and Queen County",41.9,32.5,51.5,19
"Virginia","King George County",53,44.5,61.9,17.4
"Virginia","King William County",52,45,59.2,14.2
"Virginia","Lancaster County",50.9,42.1,60,17.9
"Virginia","Lee County",22.5,15.8,29.5,13.7
"Virginia","Lexington City",54.3,44.9,64,19.1
"Virginia","Loudoun County",64.6,58.6,70.7,12.1
"Virginia","Louisa County",48.8,41,57,16
"Virginia","Lunenburg County",41.2,32.2,50.5,18.3
"Virginia","Lynchburg City",47.1,41.4,53,11.6
"Virginia","Madison County",51.6,43.9,59.6,15.7
"Virginia","Manassas City",60.7,54.7,67,12.3
"Virginia","Martinsville City",40.3,31,49.9,18.9
"Virginia","Mathews County",55.3,47.1,63.9,16.8
"Virginia","Mecklenburg County",44,33.8,54.6,20.8
"Virginia","Middlesex County",56.2,48.5,64.1,15.6
"Virginia","Montgomery County",50.3,41.5,59.5,18
"Virginia","Nelson County",46.8,38.1,55.7,17.6
"Virginia","New Kent County",53.3,45.1,61.8,16.7
"Virginia","Newport News City",53.7,47.5,60.1,12.6
"Virginia","Norfolk City",52.9,48.6,57.3,8.7
"Virginia","Northampton County",47.6,38.4,57.1,18.7
"Virginia","Northumberland County",51.4,45.1,58,12.9
"Virginia","Norton City",36.9,28.5,45.7,17.2
"Virginia","Nottoway County",43.3,33.9,53.1,19.2
"Virginia","Orange County",53.5,46.7,60.6,13.9
"Virginia","Page County",46.2,37.6,55.1,17.5
"Virginia","Patrick County",37.7,28.3,47.5,19.2
"Virginia","Petersburg City",42.1,34.5,49.9,15.4
"Virginia","Pittsylvania County",39.8,29.7,50.2,20.5
"Virginia","Poquoson City",65.7,59.1,72.5,13.4
"Virginia","Portsmouth City",48.1,41.2,55.2,14
"Virginia","Powhatan County",51.6,45.4,58.1,12.7
"Virginia","Prince Edward County",46.6,39,54.5,15.5
"Virginia","Prince George County",47.1,38.1,56.5,18.4
"Virginia","Prince William County, Manassas Park City",57.6,52.1,63.4,11.3
"Virginia","Pulaski County",42,31.3,53.2,21.9
"Virginia","Radford City",46.7,38.8,54.9,16.1
"Virginia","Rappahannock County",51.7,44.5,59.3,14.8
"Virginia","Richmond City",57.1,52.6,61.8,9.2
"Virginia","Richmond County",39.1,31.8,46.8,15
"Virginia","Roanoke City",46.2,39.9,52.8,12.9
"Virginia","Roanoke County",52.8,44.5,61.3,16.8
"Virginia","Rockbridge County",47.3,38.1,56.7,18.6
"Virginia","Rockingham County",49.3,41.3,57.6,16.3
"Virginia","Russell County",26.4,17.8,35.3,17.5
"Virginia","Salem City",49.6,41.4,58,16.6
"Virginia","Scott County",29,19.5,38.7,19.2
"Virginia","Shenandoah County",51.6,43.8,59.7,15.9
"Virginia","Smyth County",33.2,24.3,42.5,18.2
"Virginia","Southampton County, Franklin City",44.8,36.4,53.6,17.2
"Virginia","Spotsylvania County",54.5,46.6,62.7,16.1
"Virginia","Stafford County",60,53,67.2,14.2
"Virginia","Staunton City",57,49,65.2,16.2
"Virginia","Suffolk City",53.6,46.7,60.6,13.9
"Virginia","Surry County",41.8,32.6,51.3,18.7
"Virginia","Sussex County",40.5,31.3,50,18.7
"Virginia","Tazewell County",31.6,23.6,39.9,16.3
"Virginia","Virginia",55.6,49,62.5,13.5
"Virginia","Virginia Beach City",63.4,60.7,66.2,5.5
"Virginia","Warren County",52.5,46.2,59.1,12.9
"Virginia","Washington County",36.7,28,45.7,17.7
"Virginia","Westmoreland County",49,42.2,56.1,13.9
"Virginia","Williamsburg City",60.9,52.4,69.8,17.4
"Virginia","Winchester City",59.7,52.8,66.9,14.1
"Virginia","Wise County",27.8,19.8,36,16.2
"Virginia","Wythe County",38.4,28.6,48.6,20
"Virginia","York County",64.7,56.8,72.9,16.1
