"state","location","both_sexes_2012","females_2012","males_2012","diff_2012"
"Washington","Adams County",42.4,28.4,56.9,28.5
"Washington","Asotin County",56.5,50.3,63,12.7
"Washington","Benton County",57.4,49.9,65.1,15.2
"Washington","Chelan County",55.7,49.9,61.7,11.8
"Washington","Clallam County",60.9,55.8,66.3,10.5
"Washington","Clark County",60.9,56.8,65.1,8.3
"Washington","Columbia County",55.2,49.6,61.1,11.5
"Washington","Cowlitz County",56.7,51.4,62.3,10.9
"Washington","Douglas County",61,57,65.2,8.2
"Washington","Ferry County",56,51.1,61.1,10
"Washington","Franklin County",45.9,36,56.2,20.2
"Washington","Garfield County",64.9,60,70,10
"Washington","Grant County",49.9,40,60.1,20.1
"Washington","Grays Harbor County",57.4,51.3,63.8,12.5
"Washington","Island County",66.8,62.2,71.6,9.39999999999999
"Washington","Jefferson County",68.4,64.9,72.1,7.19999999999999
"Washington","King County",66.4,63,69.8,6.8
"Washington","Kitsap County",62.1,57.7,66.6,8.89999999999999
"Washington","Kittitas County",65.1,62.2,68.1,5.89999999999999
"Washington","Klickitat County",58.6,53.7,63.7,10
"Washington","Lewis County",54.6,48,61.4,13.4
"Washington","Lincoln County",63.4,56.8,70.3,13.5
"Washington","Mason County",61.2,56.1,66.5,10.4
"Washington","Okanogan County",56,50.5,61.6,11.1
"Washington","Pacific County",62,55.7,68.5,12.8
"Washington","Pend Oreille County",62.1,58.7,65.6,6.89999999999999
"Washington","Pierce County",59.3,54.1,64.8,10.7
"Washington","San Juan County",73.1,70.4,75.8,5.39999999999999
"Washington","Skagit County",61.5,56.5,66.8,10.3
"Washington","Skamania County",63.3,59.6,67.2,7.6
"Washington","Snohomish County",61.7,57.4,66.1,8.7
"Washington","Spokane County",61.4,56.1,66.9,10.8
"Washington","Stevens County",57.9,50.9,65.2,14.3
"Washington","Thurston County",61.5,56.9,66.3,9.4
"Washington","Wahkiakum County",58.3,51.9,65,13.1
"Washington","Walla Walla County",55.1,48.1,62.5,14.4
"Washington","Washington",61.8,57.2,66.7,9.5
"Washington","Whatcom County",65.9,61.8,70.2,8.40000000000001
"Washington","Whitman County",62.2,57.9,66.7,8.8
"Washington","Yakima County",50.4,42.2,58.8,16.6
