"state","location","both_sexes_2012","females_2012","males_2012","diff_2012"
"West Virginia","Barbour County",31.5,20.5,42.8,22.3
"West Virginia","Berkeley County",43.9,38.8,49.1,10.3
"West Virginia","Boone County",22.7,14.6,31.1,16.5
"West Virginia","Braxton County",26.9,18.1,36,17.9
"West Virginia","Brooke County",38.6,31.5,45.8,14.3
"West Virginia","Cabell County",36.1,26.4,46.1,19.7
"West Virginia","Calhoun County",25.8,16.7,35.2,18.5
"West Virginia","Clay County",24.3,15,33.9,18.9
"West Virginia","Doddridge County",29.9,21.1,39.1,18
"West Virginia","Fayette County",28.9,19.4,38.8,19.4
"West Virginia","Gilmer County",33.1,25.5,41.1,15.6
"West Virginia","Grant County",37,26.3,48.1,21.8
"West Virginia","Greenbrier County",35.4,24.1,47.2,23.1
"West Virginia","Hampshire County",34.9,26.4,43.7,17.3
"West Virginia","Hancock County",34.7,25.9,43.7,17.8
"West Virginia","Hardy County",37.8,28.5,47.3,18.8
"West Virginia","Harrison County",39.3,28.1,50.9,22.8
"West Virginia","Jackson County",29.8,21,38.9,17.9
"West Virginia","Jefferson County",49.1,43.6,54.8,11.2
"West Virginia","Kanawha County",34.7,25.8,43.9,18.1
"West Virginia","Lewis County",36.6,28.9,44.6,15.7
"West Virginia","Lincoln County",22.7,13.6,32.2,18.6
"West Virginia","Logan County",23.7,15,32.8,17.8
"West Virginia","Marion County",41.3,32.2,50.7,18.5
"West Virginia","Marshall County",41.9,31.7,52.5,20.8
"West Virginia","Mason County",29.5,17.5,42,24.5
"West Virginia","McDowell County",18.6,11.1,26.3,15.2
"West Virginia","Mercer County",29.8,19.9,40.1,20.2
"West Virginia","Mineral County",39.4,32.9,46.2,13.3
"West Virginia","Mingo County",23.5,15.6,31.7,16.1
"West Virginia","Monongalia County",46.1,36.8,55.7,18.9
"West Virginia","Monroe County",34.1,21.8,46.8,25
"West Virginia","Morgan County",41,34.5,47.8,13.3
"West Virginia","Nicholas County",28.4,19.4,37.7,18.3
"West Virginia","Ohio County",48.1,40.6,55.9,15.3
"West Virginia","Pendleton County",37.2,26.4,48.4,22
"West Virginia","Pleasants County",35.9,26.5,45.6,19.1
"West Virginia","Pocahontas County",32.4,22.6,42.6,20
"West Virginia","Preston County",37.1,25.7,48.9,23.2
"West Virginia","Putnam County",37.4,28.4,46.6,18.2
"West Virginia","Raleigh County",28.2,21.6,34.9,13.3
"West Virginia","Randolph County",36.4,25.1,48.2,23.1
"West Virginia","Ritchie County",30.9,21.6,40.4,18.8
"West Virginia","Roane County",27.8,18.3,37.7,19.4
"West Virginia","Summers County",27.4,19.1,35.9,16.8
"West Virginia","Taylor County",39,30.7,47.6,16.9
"West Virginia","Tucker County",37,25.2,49.2,24
"West Virginia","Tyler County",31.1,21,41.7,20.7
"West Virginia","Upshur County",33.1,21.4,45.2,23.8
"West Virginia","Wayne County",27,17.8,36.4,18.6
"West Virginia","Webster County",23.5,14.4,32.8,18.4
"West Virginia","West Virginia",35.3,26.6,44.3,17.7
"West Virginia","Wetzel County",34.8,24.2,45.7,21.5
"West Virginia","Wirt County",29.7,19.8,40,20.2
"West Virginia","Wood County",36.2,29.4,43.3,13.9
"West Virginia","Wyoming County",23.5,15,32.3,17.3
