"state","location","both_sexes_2012","females_2012","males_2012","diff_2012"
"Wisconsin","Adams County",60.3,57.9,62.8,4.9
"Wisconsin","Ashland County",65.2,59.5,71,11.5
"Wisconsin","Barron County",62.7,57.3,68.3,11
"Wisconsin","Bayfield County",68.1,62,74.4,12.4
"Wisconsin","Brown County",70.1,66.2,74.1,7.89999999999999
"Wisconsin","Buffalo County",67.1,62.2,72.2,10
"Wisconsin","Burnett County",64.4,58.2,70.9,12.7
"Wisconsin","Calumet County",71.9,67,77,10
"Wisconsin","Chippewa County",69.9,64.9,75,10.1
"Wisconsin","Clark County",61.6,57,66.5,9.5
"Wisconsin","Columbia County",66.7,62.2,71.3,9.09999999999999
"Wisconsin","Crawford County",64.9,61.2,68.7,7.5
"Wisconsin","Dane County",70.4,64.9,76.2,11.3
"Wisconsin","Dodge County",64.7,59.4,70.1,10.7
"Wisconsin","Door County",67.9,66,69.9,3.90000000000001
"Wisconsin","Douglas County",69.7,63.6,76.1,12.5
"Wisconsin","Dunn County",64.3,57.8,71.1,13.3
"Wisconsin","Eau Claire County",67.7,62.1,73.5,11.4
"Wisconsin","Florence County",68.7,65.3,72.2,6.90000000000001
"Wisconsin","Fond du Lac County",68.6,63.8,73.7,9.90000000000001
"Wisconsin","Forest County",64.8,60.6,69,8.4
"Wisconsin","Grant County",67.7,62.4,73.1,10.7
"Wisconsin","Green County",65.7,59.6,72.1,12.5
"Wisconsin","Green Lake County",65.2,61.3,69.1,7.8
"Wisconsin","Iowa County",66.6,62.1,71.3,9.2
"Wisconsin","Iron County",71.3,67.7,75,7.3
"Wisconsin","Jackson County",59.4,54.3,64.7,10.4
"Wisconsin","Jefferson County",65.9,59.6,72.4,12.8
"Wisconsin","Juneau County",62.3,58.2,66.6,8.39999999999999
"Wisconsin","Kenosha County",64.1,57.9,70.5,12.6
"Wisconsin","Kewaunee County",70,65.4,74.8,9.39999999999999
"Wisconsin","La Crosse County",70.2,65.7,75,9.3
"Wisconsin","Lafayette County",64.8,59.8,70,10.2
"Wisconsin","Langlade County",64.3,61.8,66.8,5
"Wisconsin","Lincoln County",64.7,60.8,68.8,8
"Wisconsin","Manitowoc County",69.1,64.5,74,9.5
"Wisconsin","Marathon County",68.5,65.2,71.8,6.59999999999999
"Wisconsin","Marinette County",66.9,63.7,70.3,6.59999999999999
"Wisconsin","Marquette County",60.4,55.2,65.8,10.6
"Wisconsin","Menominee County",52.4,46.2,58.8,12.6
"Wisconsin","Milwaukee County",61.3,54.1,68.7,14.6
"Wisconsin","Monroe County",63.2,58.5,68.1,9.59999999999999
"Wisconsin","Oconto County",66.4,64.1,68.8,4.7
"Wisconsin","Oneida County",70.2,69.8,70.6,0.799999999999997
"Wisconsin","Outagamie County",69.9,65.9,74,8.09999999999999
"Wisconsin","Ozaukee County",73.3,68.8,77.9,9.10000000000001
"Wisconsin","Pepin County",69.7,64.4,75.2,10.8
"Wisconsin","Pierce County",69.1,62.6,75.8,13.2
"Wisconsin","Polk County",64.3,57.9,70.9,13
"Wisconsin","Portage County",73.3,70.6,76,5.40000000000001
"Wisconsin","Price County",66.4,61.7,71.2,9.5
"Wisconsin","Racine County",65.1,58.3,72.1,13.8
"Wisconsin","Richland County",60.8,55.8,66.1,10.3
"Wisconsin","Rock County",62.4,55.6,69.6,14
"Wisconsin","Rusk County",60.2,52.7,67.9,15.2
"Wisconsin","Sauk County",64.1,59.2,69.2,10
"Wisconsin","Sawyer County",63.7,57,70.6,13.6
"Wisconsin","Shawano County",61.8,59.2,64.5,5.3
"Wisconsin","Sheboygan County",66.1,61.4,70.9,9.50000000000001
"Wisconsin","St. Croix County",70,64.8,75.5,10.7
"Wisconsin","Taylor County",66.1,60.8,71.7,10.9
"Wisconsin","Trempealeau County",66.4,61.4,71.5,10.1
"Wisconsin","Vernon County",58.9,55.2,62.7,7.5
"Wisconsin","Vilas County",67,62,72.2,10.2
"Wisconsin","Walworth County",65.9,60.4,71.5,11.1
"Wisconsin","Washburn County",66.7,60.2,73.4,13.2
"Wisconsin","Washington County",70.6,66.7,74.8,8.09999999999999
"Wisconsin","Waukesha County",73.1,66.9,79.5,12.6
"Wisconsin","Waupaca County",63.9,59.7,68.3,8.59999999999999
"Wisconsin","Waushara County",65.8,62.3,69.3,7
"Wisconsin","Winnebago County",68.1,64.8,71.6,6.8
"Wisconsin","Wisconsin",66.8,61.5,72.4,10.9
"Wisconsin","Wood County",67.6,62.5,72.9,10.4
