"state","location","both_sexes_2012","females_2012","males_2012","diff_2012"
"Wyoming","Albany County",60.9,56.6,65.4,8.8
"Wyoming","Big Horn County",46.1,36.1,56.4,20.3
"Wyoming","Campbell County",59.3,53.6,65.1,11.5
"Wyoming","Carbon County",57.3,51.1,63.7,12.6
"Wyoming","Converse County",61.4,52.4,70.8,18.4
"Wyoming","Crook County",68.7,60.2,77.5,17.3
"Wyoming","Fremont County",56.2,50,62.5,12.5
"Wyoming","Goshen County",57.5,50,65.2,15.2
"Wyoming","Hot Springs County",58.1,52.6,63.8,11.2
"Wyoming","Johnson County",67,59.6,74.7,15.1
"Wyoming","Laramie County",56.8,50.4,63.3,12.9
"Wyoming","Lincoln County",39.7,30.5,49.1,18.6
"Wyoming","Natrona County",57.2,50.6,64.1,13.5
"Wyoming","Niobrara County",53.5,45.5,61.8,16.3
"Wyoming","Park County",58.2,51.4,65.1,13.7
"Wyoming","Platte County",61.5,53.6,69.6,16
"Wyoming","Sheridan County",61.3,56.2,66.7,10.5
"Wyoming","Sublette County",62.6,55.3,70.1,14.8
"Wyoming","Sweetwater County",53.9,45,63.2,18.2
"Wyoming","Teton County",74.9,70.9,79,8.09999999999999
"Wyoming","Uinta County",37.7,32.2,43.5,11.3
"Wyoming","Washakie County",55.6,48.6,62.8,14.2
"Wyoming","Weston County",62.7,56.5,69.1,12.6
"Wyoming","Wyoming",57.4,50.9,64.2,13.3
